topo,L,t,cF_exp,gamma_smoothdf,gamma_dev,fit_r2,n,iso_factor_med
Diamond,4.0,0.3,346.41429576084295,0.5762389915271453,0.8869824724121856,0.9158743171353407,9,
Diamond,4.0,0.4,283.33639406240394,0.41872002996585783,0.6791229156667037,0.9448892992075042,8,
Diamond,4.0,0.5,239.41743111161657,0.311196192675268,0.4447729547581867,0.93951769298608,6,
Diamond,5.0,0.3,246.72999863560497,0.5988499864263055,1.1165566171995696,0.9067013695128359,13,
Diamond,5.0,0.4,223.1265090913179,0.4818029079472948,0.6841300104567394,0.9039038598757358,12,
Diamond,5.0,0.5,237.18711037629254,0.46087683356629344,0.6852929301211548,0.9208785300156704,10,
Diamond,6.0,0.3,609.5943611607373,2.171524339405475,3.3353032827730065,0.9997397542123689,15,
Diamond,6.0,0.4,648.5381689608072,2.0573895645405837,2.840614534228604,0.9977765703090735,15,
Diamond,6.0,0.5,639.0034340959353,1.8370794907596688,2.6962561042531417,0.9994136632004906,15,
Diamond,8.0,0.3,280.4987797788414,1.5983825681056902,3.042521216779218,0.997092621761902,15,
Diamond,8.0,0.4,315.7681466646966,1.5946703649093206,2.7963525677496657,0.9974832666706669,14,
Diamond,8.0,0.5,323.88696477105515,1.457005181861936,2.225179863284362,0.9983053460464307,13,
Diamond,4.0,,,,,,23,0.5069999999999999
Diamond,5.0,,,,,,35,0.494
Diamond,6.0,,,,,,45,0.529
Diamond,8.0,,,,,,60,0.5740000000000001
Gyroid,4.0,0.3,342.29643773518245,0.6952904920593226,1.0519604673242442,0.9237554533059489,11,
Gyroid,4.0,0.4,385.0568043570397,0.7215382843109938,1.117844918631997,0.9180986607172259,10,
Gyroid,4.0,0.5,272.7073419142871,0.4714522942552987,0.7706120302547366,0.9245313138133484,8,
Gyroid,5.0,0.3,193.3902629351251,0.527765290800042,0.8154574053423813,0.9189891531935412,16,
Gyroid,5.0,0.4,187.74256617510366,0.47232102472152465,0.7677936901165594,0.9396635101839846,15,
Gyroid,5.0,0.5,163.4400456721931,0.3803687101775585,0.6673863646674337,0.9191228826130338,15,
Gyroid,6.0,0.3,528.8996794701713,1.7184925576653303,2.8925010539433496,0.9987744812643188,18,
Gyroid,6.0,0.4,535.3224589840802,1.6538497018923184,2.7851893521115385,0.996892706645019,17,
Gyroid,6.0,0.5,560.3674275308458,1.6578789486805923,2.868242794152453,0.9975101435816898,16,
Gyroid,8.0,0.3,187.4133101436158,0.9205546163394613,1.4821420949336666,0.9957756894037979,20,
Gyroid,8.0,0.4,188.58167467965686,0.9101234758005824,1.4851683873649182,0.9957331886796436,19,
Gyroid,8.0,0.5,187.01707777785268,0.8862192078835661,1.494898852362185,0.996120059358084,18,
Gyroid,4.0,,,,,,29,0.41800000000000004
Gyroid,5.0,,,,,,46,0.45399999999999996
Gyroid,6.0,,,,,,51,0.478
Gyroid,8.0,,,,,,75,0.5138207454146297
