kind,tpms,n,n_kept,n_nonpos,n_dup,dp_over_patm_max,L,a_t03,a_t05,b_alpha,t,gamma,alpha,gamma_no_alpha,b_gamma
bench,Diamond,163.0,145.0,0.0,0.0,0.8145242577709487,,,,,,,,,
bench,Gyroid,201.0,183.0,0.0,0.0,0.8137624389827147,,,,,,,,,
alpha_slope,Diamond,,,,,,4.0,0.507112376,0.378378378,-1.4641896649635382,,,,,
alpha_slope,Diamond,,,,,,5.0,0.547652916,0.441678521,-1.0752971596608245,,,,,
alpha_slope,Diamond,,,,,,6.0,0.574679943,0.485064011,-0.8476620064244086,,,,,
alpha_slope,Diamond,,,,,,8.0,0.608108108,0.540540541,-0.5889151731430287,,,,,
alpha_slope,Gyroid,,,,,,4.0,0.463811821,0.373944511,-1.0768574583931703,,,,,
alpha_slope,Gyroid,,,,,,5.0,0.491556092,0.418576598,-0.8035807706762138,,,,,
alpha_slope,Gyroid,,,,,,6.0,0.509650181,0.448733414,-0.6364779604314753,,,,,
alpha_slope,Gyroid,,,,,,8.0,0.533172497,0.486731001,-0.4556669741044919,,,,,
anchor,Diamond,,,,,,6.0,,,,0.3,3.3353032827730056,0.574679943,5.803757941092796,-1.3138705035986196
anchor,Diamond,,,,,,6.0,,,,0.4,2.8406145342286,0.529871977,5.36094501602337,-1.3138705035986196
anchor,Diamond,,,,,,6.0,,,,0.5,2.6962561042531408,0.485064011,5.558557310187955,-1.3138705035986196
anchor,Diamond,,,,,,8.0,,,,0.3,3.04252121677922,0.608108108,5.003257112926407,-1.3138705035986196
anchor,Diamond,,,,,,8.0,,,,0.4,2.7963525677497088,0.574679943,4.865930335330511,-1.3138705035986196
anchor,Diamond,,,,,,8.0,,,,0.5,2.225179863284363,0.540540541,4.116582743576975,-1.3138705035986196
anchor,Gyroid,,,,,,6.0,,,,0.3,2.892501053943351,0.509650181,5.675463605777373,0.00037043857091856314
anchor,Gyroid,,,,,,6.0,,,,0.4,2.785189352111537,0.478890229,5.815924367317875,0.00037043857091856314
anchor,Gyroid,,,,,,6.0,,,,0.5,2.868242794152446,0.448733414,6.391863642568962,0.00037043857091856314
anchor,Gyroid,,,,,,8.0,,,,0.3,1.4821420949336659,0.533172497,2.779854743583418,0.00037043857091856314
anchor,Gyroid,,,,,,8.0,,,,0.4,1.4851683873649255,0.509650181,2.9140937112017338,0.00037043857091856314
anchor,Gyroid,,,,,,8.0,,,,0.5,1.4948988523621731,0.486731001,3.0713039631559713,0.00037043857091856314
