fluid,topo,Re,G,cF_meas,darcy_frac,A_used
air,Diamond,916.7976264300595,7.2727272727272725,412.05673581716576,0.1676031075411715,0.000594
air,Diamond,1365.6343461013616,10.90909090909091,445.01437285487236,0.11123935483602145,0.000594
air,Diamond,1815.5714407967805,14.545454545454545,458.1172775339573,0.08378910519684894,0.000594
air,Diamond,2266.732921935153,18.181818181818183,452.5140377535894,0.06903703194379124,0.000594
air,Diamond,2708.187048280329,21.81818181818182,445.7615234219068,0.05927397307640586,0.000594
air,Diamond,3153.7640748957333,25.454545454545453,438.79675338637173,0.05210162695697922,0.000594
air,Diamond,3608.8047922956894,29.09090909090909,429.8322962375237,0.04674434412919023,0.000594
air,Diamond,4037.7532420233974,32.72727272727273,427.0717179497074,0.04224692307373423,0.000594
air,Diamond,5376.63108142294,43.63636363636364,416.49019372043745,0.03285186975998745,0.000594
air,Diamond,5805.114393549947,47.272727272727266,414.991749676361,0.030607750514018917,0.000594
air,Diamond,6259.46463853593,50.90909090909091,418.85760652295045,0.028194088211674198,0.000594
air,Diamond,6740.392670147788,54.545454545454554,422.5320081846091,0.026013001312542618,0.000594
air,Diamond,7221.7597013040995,58.18181818181818,428.3508701729395,0.023998813631762397,0.000594
air,Diamond,7714.110678153627,61.81818181818182,431.22910770830293,0.022354732805394826,0.000594
air,Diamond,8196.014122824838,65.45454545454545,437.5793798288404,0.020768631710842617,0.000594
water,Diamond,41.9677900009874,13.933939393939395,3326.6343998008456,0.3526795445780612,0.000594
water,Diamond,86.09195823782336,28.057912457912458,1492.8050847580648,0.3718026724248469,0.000594
water,Diamond,128.02307535248605,41.63973063973064,1654.499312303643,0.26422427876969906,0.000594
water,Diamond,178.72867199902615,55.97609427609428,1447.4621309790323,0.22721595445305245,0.000594
water,Diamond,223.23002695366938,69.92121212121212,1451.9272804949774,0.1900765749055048,0.000594
water,Diamond,289.023041789104,83.67070707070707,1682.0313764716013,0.13529547883587237,0.000594
water,Diamond,352.05845147388686,97.92323232323233,1426.0241748001743,0.13157483971665782,0.000594
water,Diamond,402.10280115616075,111.56094276094275,1376.4864165227534,0.12082294842011744,0.000594
water,Diamond,486.79829920900113,125.7016835016835,1302.4845249236898,0.10711626083601203,0.000594
water,Diamond,629.904312382586,167.2855218855219,1108.2587274514087,0.09825407295348224,0.000594
water,Diamond,726.3521440359916,181.3144781144781,1112.5731067167485,0.08602789110270388,0.000594
water,Diamond,816.6809960795766,196.74074074074073,1115.0033918367358,0.0770924217036693,0.000594
water,Diamond,871.5846960791782,210.6579124579125,1118.7839262140176,0.07236111429270835,0.000594
water,Diamond,954.4952229019523,223.4851851851852,1145.2568362154043,0.06505651882105742,0.000594
water,Diamond,1010.9768263137062,237.48619528619525,1124.7663061439175,0.06269860513172425,0.000594
water,Diamond,1101.8500893745047,251.37542087542087,1134.0732340275763,0.05737932860933881,0.000594
sco2,Diamond,9812.013869524262,81.61434625030469,1883.195385800607,0.004099787289114212,0.0005935859999999999
sco2,Diamond,14708.087661603875,124.54655105121688,1428.109244361474,0.003608373323800166,0.0005935859999999999
sco2,Diamond,19740.10310209821,166.40829273305224,1473.0071811194753,0.0026092164287068015,0.0005935859999999999
sco2,Diamond,24579.642068022647,209.37030457119175,1430.3175283428798,0.0021589986175823105,0.0005935859999999999
sco2,Diamond,30237.279054784132,251.47142671938627,1563.5468849830131,0.001606376035317466,0.0005935859999999999
sco2,Diamond,35228.85386739293,298.19582848587925,1479.338450749636,0.001457469723941448,0.0005935859999999999
sco2,Diamond,40949.35902093758,341.04444705624246,1464.3614919781867,0.001266931272513483,0.0005935859999999999
sco2,Diamond,9750.587661262423,81.76810902195263,1560.151563808724,0.004975482857152206,0.0005935859999999999
sco2,Diamond,14700.903207453655,125.44850098507021,1494.1863006106803,0.00345103139249654,0.0005935859999999999
sco2,Diamond,19344.28094568469,167.23339492640386,1516.6944355831229,0.002585972021875258,0.0005935859999999999
sco2,Diamond,24292.505309101747,207.7671874226318,1524.5915643215815,0.00204966150834806,0.0005935859999999999
sco2,Diamond,29035.786791627703,251.1448366837793,1489.2778401153676,0.0017560076895027652,0.0005935859999999999
sco2,Diamond,34612.228621958595,295.7705898370773,1443.8831956204106,0.001519766546244766,0.0005935859999999999
sco2,Diamond,9345.79584309628,81.35440076641524,1359.1024892211744,0.005953021434792623,0.0005935859999999999
sco2,Diamond,14079.802282103528,124.96447950740054,1405.3132284084631,0.003829683998543278,0.0005935859999999999
sco2,Diamond,18898.633356622937,166.29179325684382,1500.5634409932363,0.0026751670486285435,0.0005935859999999999
sco2,Diamond,23415.725069663153,208.77089980783467,1506.8357035563095,0.00215124681842253,0.0005935859999999999
sco2,Diamond,28265.6249162952,251.2984436046212,1497.3344275843974,0.001794079871539948,0.0005935859999999999
sco2,Diamond,34469.094414899475,297.23396705553614,1457.5840827380755,0.0015117448732304636,0.0005935859999999999
sco2,Diamond,9043.35901827944,81.64320028397012,1528.3234754332045,0.00547356536747772,0.0005935859999999999
sco2,Diamond,13919.650354490834,125.0664190843391,1444.255152073703,0.0037695248033235164,0.0005935859999999999
sco2,Diamond,18436.838657129552,166.78011033687363,1446.617042947113,0.0028439511343112465,0.0005935859999999999
sco2,Diamond,22890.6429087958,207.17634259522046,1492.1033190170888,0.0022221634508283305,0.0005935859999999999
sco2,Diamond,27885.115124352073,250.83876634610235,1478.355328867729,0.0018418197756879802,0.0005935859999999999
sco2,Diamond,9479.53820175854,81.90475993772046,1937.4363818496977,0.004124671594394042,0.0005935859999999999
sco2,Diamond,14301.446650790122,125.54394138686479,1569.0766679882963,0.003378354464236877,0.0005935859999999999
sco2,Diamond,18922.99365776692,166.50658043937926,1558.4720240974536,0.0025727134961032803,0.0005935859999999999
sco2,Diamond,23765.104869771756,208.25712377295878,1554.6080791684478,0.0020546843961375422,0.0005935859999999999
sco2,Diamond,28361.498086061125,251.37445754627325,1528.5721165924026,0.0017515501586014804,0.0005935859999999999
sco2,Diamond,32566.82109902706,289.25040299456884,1486.6325953796731,0.001568693890410583,0.0005935859999999999
sco2,Diamond,9191.917667600963,81.7997337667613,1856.4505820021636,0.004437903650132109,0.0005935859999999999
sco2,Diamond,13871.921347490364,125.61126265869099,1554.2637865582608,0.0035156704750846815,0.0005935859999999999
sco2,Diamond,18215.0142669166,167.79975990010018,1540.1246298890678,0.002704192759170763,0.0005935859999999999
sco2,Diamond,23564.495090082444,217.99452524804988,1523.4881482730236,0.002114377754169319,0.0005935859999999999
sco2,Diamond,27233.76912297619,251.6512730705107,1522.1092040619558,0.001831678524387583,0.0005935859999999999
sco2,Diamond,33777.29726273296,297.57264285269844,1482.6477796956472,0.0015166207263722022,0.0005935859999999999
sco2,Diamond,8950.399055885377,81.86132440979254,1709.1397277239098,0.004947945042486227,0.0005935859999999999
sco2,Diamond,13509.84909317993,125.59166581667117,1577.872860051305,0.003555736268464459,0.0005935859999999999
sco2,Diamond,17921.581329113207,166.93042016906304,1557.9046079163122,0.0027170662764637752,0.0005935859999999999
sco2,Diamond,22358.789758390394,208.69315548369826,1540.5837866691877,0.00220347134837545,0.0005935859999999999
sco2,Diamond,27142.4786884996,251.39055527154312,1537.1424934676256,0.0018198865423610772,0.0005935859999999999
sco2,Diamond,9021.488820462006,81.6736511934457,1475.160308251964,0.005683374856043679,0.0005935859999999999
sco2,Diamond,13672.399579612149,125.44583074548407,1465.0841829243423,0.003783080873152406,0.0005935859999999999
sco2,Diamond,18314.23978261004,166.03359478037618,1515.1076067876786,0.0027338691827628356,0.0005935859999999999
sco2,Diamond,22605.7989241632,209.15766546971108,1530.6234466305566,0.0021935982868059784,0.0005935859999999999
sco2,Diamond,27018.994464441847,251.32467680585702,1532.2530979683377,0.001834011740141065,0.0005935859999999999
sco2,Diamond,8801.07548108971,81.62781693011256,1624.821045682618,0.005291194370429521,0.0005935859999999999
sco2,Diamond,13320.711453354566,124.35011757165586,1500.3871325475411,0.0037915649254776436,0.0005935859999999999
sco2,Diamond,17534.196521388687,165.88715851080528,1542.653145257511,0.0028043051558018796,0.0005935859999999999
sco2,Diamond,21820.430417912605,208.3322922173956,1546.0349340132552,0.002249770690733636,0.0005935859999999999
sco2,Diamond,26858.636572257925,251.1442582646398,1549.9649330356465,0.0018238972442809682,0.0005935859999999999
air,Gyroid,881.4033657889896,7.005892911800243,399.76031544753823,0.1258294388592654,0.00065
air,Gyroid,1317.8227464653103,10.508839367700363,396.9521560360713,0.08838466574569033,0.00065
air,Gyroid,1727.6149083465832,14.011785823600485,387.03743992702454,0.07050314189269713,0.00065
air,Gyroid,2582.1960689994617,21.017678735400725,386.1017185389897,0.04840833503563443,0.00065
air,Gyroid,3442.3565124922648,28.02357164720097,402.0751613833133,0.03534825107552349,0.00065
air,Gyroid,3843.187231836563,31.52651810310109,404.64837162479114,0.031583010635736194,0.00065
air,Gyroid,4271.345629767583,35.029464559001205,376.1253750817556,0.03060305373903299,0.00065
air,Gyroid,4748.848474728925,38.53241101490133,395.4906094809566,0.026294422436455463,0.00065
air,Gyroid,5222.185771720302,42.03535747080145,402.1547400325225,0.023580414752572967,0.00065
air,Gyroid,5708.604734182183,45.538303926701566,405.6477812069882,0.021432468321000816,0.00065
air,Gyroid,6196.634763762618,49.041250382601696,403.9090027432921,0.01986134034927512,0.00065
air,Gyroid,6587.0557508762495,52.54419683850181,420.59172944855464,0.01797752195130271,0.00065
air,Gyroid,7188.11783023648,56.04714329440194,397.11212444850975,0.017457556332136116,0.00065
air,Gyroid,7703.348326420853,59.550089750302064,400.5110738492766,0.01617280042381765,0.00065
air,Gyroid,8234.92604082161,63.05303620620218,411.3837531854345,0.014750269397698256,0.00065
water,Gyroid,105.8221096503472,32.970366,383.4959803098664,0.5555062183812127,0.00065
water,Gyroid,157.21204610976125,48.93038000000001,677.754613394207,0.3224908158170293,0.00065
water,Gyroid,214.11114441865377,65.19781,750.3308618605216,0.23994571384981905,0.00065
water,Gyroid,277.01329112148557,83.64276999999998,826.2804198881844,0.18138866754989083,0.00065
water,Gyroid,374.97554778407164,99.78211,807.7402466247722,0.14343244905186267,0.00065
water,Gyroid,445.85091864948674,115.84459600000004,828.7216475748367,0.12069802554795842,0.00065
