topology,case,included,quality_valid,exclusion_reason,measured_dP_Pa,predicted_dP_Pa,relative_error,mdot_kg_s,u_mps,u_min_mps,u_max_mps,A_flow_m2,L_flow_m,dp_nonphysical,duplicate_row
Diamond,工况1,False,True,outside_velocity_window,182.373259321055,91.41170272188279,-0.4987658658830072,0.008276760000000001,0.01399362112950509,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况2,False,True,outside_velocity_window,342.0120199812676,267.7341009138021,-0.2171792648443578,0.0166664,0.028184322819269973,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况3,False,True,outside_velocity_window,712.8057655194596,519.0142327184715,-0.27187144405287167,0.024734,0.04182835319279328,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况4,False,True,outside_velocity_window,1073.4840950189052,863.9485979586741,-0.19519199029822698,0.0332498,0.056256482095614894,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况5,False,True,outside_velocity_window,1603.0960395173981,1289.5814674600026,-0.19556817828068307,0.0415332,0.07027135041281979,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况6,False,True,outside_velocity_window,2493.652851081445,1772.0656214930104,-0.289369560512602,0.0497004,0.08418307855473556,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况7,False,True,outside_velocity_window,2885.104415274463,2364.935984105271,-0.1802944907003332,0.0581664,0.09858479015378704,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况8,True,True,included,3570.535764905981,3022.4158629941844,-0.15351194834656123,0.0662672,0.1123192610241059,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况9,True,True,included,4228.806022061015,3768.488295366234,-0.1088528828925649,0.0746668,0.12671488211357182,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况10,False,False,duplicate_row,5348.856961566352,4607.488822006238,,0.0828672,0.14056274093609147,0.1,0.25405479940574704,0.000594,0.182,False,True
Diamond,工况11,False,False,duplicate_row,5348.856961566352,5532.864873543218,,0.0911672,0.15464154110997885,0.1,0.25405479940574704,0.000594,0.182,False,True
Diamond,工况12,True,True,included,6306.818909478995,6530.49741959611,0.03546613805272458,0.0993676,0.1685480168377989,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况13,True,True,included,7346.837993421053,7606.090953968362,0.03528769258005471,0.1077008,0.1828946391247834,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况14,True,True,included,8591.346060311284,8898.440659789436,0.03574464319355153,0.116864,0.19859922356141882,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况15,True,True,included,9832.128767458957,10164.344458509964,0.03378878561380616,0.12513080000000001,0.21263322243815833,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况16,True,True,included,11246.987165052917,11394.065130532825,0.013077099077423604,0.1327502,0.22573481093952927,0.1,0.25405479940574704,0.000594,0.182,False,False
Diamond,工况17,True,True,included,12440.837846620452,12829.93915313169,0.03127613359392334,0.1410668,0.23985945197020972,0.1,0.25405479940574704,0.000594,0.182,False,False
