topo,mdot,Re_ref,dp_meas,dp_pred_spec,gamma_hx,dp_over_pabs,u_in,g_spec,P_in,T_bar,G,K_dev,cF_dev,case,dp_floor,dup_row,excluded
Diamond,0.00216,465.01852906696837,892.8190977347108,1301.0017172874504,0.6862551262393503,0.008646970848701885,3.8896743176305075,2.1465493954801844,103252.23865751139,340.6794503625747,3.6363636363636362,3.416836241943028e-08,188.02724494610567,工况1,True,False,True
Diamond,0.00432,916.7976264300595,4474.303777708397,4396.341454870475,1.0177334548824801,0.04126851628424682,7.656604926203154,2.1465493954801844,108419.30315329379,347.3176678114272,7.2727272727272725,3.416836241943028e-08,188.02724494610567,工况2,False,False,False
Diamond,0.0064800000000000005,1365.6343461013616,9832.287713091027,8984.952822801599,1.0943059921404485,0.08481535760216616,10.910727345441144,2.1465493954801844,115925.7944676745,350.60655455934443,10.90909090909091,3.416836241943028e-08,188.02724494610567,工况3,False,False,False
Diamond,0.00864,1815.5714407967805,16583.617047509455,14655.345606505973,1.1315746139857297,0.13204036952088805,13.460454547037143,2.1465493954801844,125595.05178365938,351.9853002219296,14.545454545454545,3.416836241943028e-08,188.02724494610567,工况4,False,False,False
Diamond,0.0108,2266.732921935153,23832.051932155973,21210.393574801463,1.1236025323202448,0.17510367068550234,15.556898004367824,2.1465493954801844,136102.5262283616,352.5596564084628,18.181818181818183,3.416836241943028e-08,188.02724494610567,工况5,False,False,False
Diamond,0.012960000000000001,2708.187048280329,31678.89630549519,28519.366008279525,1.110785432477651,0.2143791238148351,17.219168309293266,2.1465493954801844,147770.43464762496,354.65932293283663,21.81818181818182,3.416836241943028e-08,188.02724494610567,工况6,False,False,False
Diamond,0.01512,3153.7640748957333,39742.18268604903,36272.416042045545,1.095658547806175,0.24830183261318922,18.51531208698468,2.1465493954801844,160055.9378390106,355.54250379691837,25.454545454545453,3.416836241943028e-08,188.02724494610567,工况7,False,False,False
Diamond,0.01728,3608.8047922956894,47690.350562222426,44428.58747441723,1.0734158629212187,0.2769162082839553,19.587912847507738,2.1465493954801844,172219.426438628,354.9407611263344,29.09090909090909,3.416836241943028e-08,188.02724494610567,工况8,False,False,False
Diamond,0.01944,4037.7532420233974,56502.55689158302,52931.043865260755,1.0674748269732555,0.3035140732391544,20.48073679553624,2.1465493954801844,186161.24217430188,357.5870714498666,32.72727272727273,3.416836241943028e-08,188.02724494610567,工况9,False,False,False
Diamond,0.0216,4496.335268457145,73322.6459390863,55671.07725810053,1.3170689260987374,0.3428305758954927,19.77016954067218,2.1465493954801844,213874.2897933285,356.51338492567135,36.36363636363637,3.416836241943028e-08,188.02724494610567,工况10,False,True,True
Diamond,0.02376,4945.968795302859,73322.6459390863,69756.32762745756,1.0511253736101922,0.3428305758954927,21.747186494739395,2.1465493954801844,213874.2897933285,356.51338492567135,40.0,3.416836241943028e-08,188.02724494610567,工况11,False,True,True
