topo,kind,L,t,gamma,pred,lo68,hi68,lo95,hi95,hx_gap
Diamond,anchor,6.0,0.3,3.3353032827730056,3.3586410882362263,,,,,
Diamond,anchor,6.0,0.4,2.8406145342286,2.945119530197226,,,,,
Diamond,anchor,6.0,0.5,2.6962561042531408,2.58251144414603,,,,,
Diamond,anchor,8.0,0.3,3.04252121677922,3.039421226481994,,,,,
Diamond,anchor,8.0,0.4,2.7963525677497088,2.665202556462781,,,,,
Diamond,anchor,8.0,0.5,2.225179863284363,2.3370583205400353,,,,,
Diamond,gate_geometry,7.0,0.6,2.1465493954801844,2.4156073771659354,1.9618481176697606,2.3486396656991153,1.6871206273404658,2.7310876487235927,1.1253444166028905
Gyroid,anchor,6.0,0.3,2.892501053943351,2.8481660135283047,,,,,
Gyroid,anchor,6.0,0.4,2.785189352111537,2.848271522537302,,,,,
Gyroid,anchor,6.0,0.5,2.868242794152446,2.8483770354548317,,,,,
Gyroid,anchor,8.0,0.3,1.4821420949336659,1.487338070231747,,,,,
Gyroid,anchor,8.0,0.4,1.4851683873649255,1.4873931679911783,,,,,
Gyroid,anchor,8.0,0.5,1.4948988523621731,1.487448267791681,,,,,
Gyroid,gate_geometry,7.0,0.6,2.011056022209202,3.195899317889198,1.9534187791995528,2.070393899930224,1.8604593965665672,2.173842832543211,1.5891647386224537
