base,topo,qty,metric,value
dev,Diamond,cF,loo_medape,0.12545804178153994
dev,Diamond,cF,loo_rmsre,0.14651407234721917
dev,Diamond,cF,loo_maxape,0.2738896012275766
dev,Diamond,K,loo_medape,0.14385911721764563
dev,Diamond,K,loo_rmsre,0.1806819942501076
dev,Diamond,K,loo_maxape,0.39323860385051496
dev,Gyroid,cF,loo_medape,0.015111744144266345
dev,Gyroid,cF,loo_rmsre,0.031510955196802255
dev,Gyroid,cF,loo_maxape,0.07607088357810582
dev,Gyroid,K,loo_medape,0.024816424096861668
dev,Gyroid,K,loo_rmsre,0.05976849715038847
dev,Gyroid,K,loo_maxape,0.13560336626165592
core,Diamond,cF,loo_medape,0.09298276336484194
core,Diamond,cF,loo_rmsre,0.16790807334386285
core,Diamond,cF,loo_maxape,0.4371478345381471
core,Diamond,K,loo_medape,0.09260505229415647
core,Diamond,K,loo_rmsre,0.22041612263584473
core,Diamond,K,loo_maxape,0.6044307649834951
core,Gyroid,cF,loo_medape,0.031966390806223446
core,Gyroid,cF,loo_rmsre,0.05211825952171168
core,Gyroid,cF,loo_maxape,0.1294747807526037
core,Gyroid,K,loo_medape,0.02438282143318642
core,Gyroid,K,loo_rmsre,0.05078554967859992
core,Gyroid,K,loo_maxape,0.15760032184698472
smoothdf,Diamond,cF,level_ratio,1.5298815251629228
smoothdf,Diamond,cF,shape_medape,0.1372331846394706
smoothdf,Diamond,cF,shape_maxape,0.3453100430855329
smoothdf,Gyroid,cF,level_ratio,1.5303629972511834
smoothdf,Gyroid,cF,shape_medape,0.03951104511245046
smoothdf,Gyroid,cF,shape_maxape,0.11038967480653039
