variant,case,dP_meas,dP_pred,Q_meas,Q_pred,err_dp,err_q
production,1,1149.126601742696,1333.0830229307244,248.39861410269177,251.23549426534055,0.16008368521714764,0.011420676290391753
production,2,5195.172161611317,4913.673315728974,621.0838013439777,631.4148270983675,-0.0541847001649768,0.016633867655273287
production,3,11103.029520295204,10592.190590919636,975.2318254909474,985.8251994640992,-0.04600896795255806,0.010862416193010309
production,4,18456.06171441513,17916.893945244145,1269.09427565157,1283.504937934047,-0.029213587249216178,0.01135507626104324
production,5,36260.139271255066,36754.035710009724,1891.088771254197,1913.0390652553835,0.013620919518811414,0.011607225601910217
production,6,58702.7203898051,58850.41592683775,2513.932051245854,2533.606471634658,0.002515991355288146,0.007826154401847902
production,7,71067.29116766468,70736.2654388289,2605.674844153385,2621.8603768876733,-0.004657919605445688,0.006211647155670768
production,8,81996.5771881461,80923.57996339671,2795.7223192336955,2820.281168931969,-0.01308587823473813,0.00878443811437082
production,9,94497.03459747172,92624.56871959809,2783.1181653308736,2793.201608989451,-0.019815075529615953,0.003623074213731274
production,10,106605.26741914476,104378.8443425758,2775.7621661416856,2776.855754928078,-0.020884737972798554,0.00039397784137701976
production,11,118286.89393643984,116635.57661806198,2779.990593486149,2773.0808157568817,-0.013960272887587812,-0.002485539967458055
production,12,129212.5138101983,130605.0227331164,2535.868061142537,2716.3305322786623,0.010776889032308239,0.07116398281968099
production,13,140258.90562036054,145363.54384840134,2726.932891209241,2702.383138459421,0.0363943965302107,-0.009002697803440861
production,14,151917.0532262114,158924.77158581305,2648.0398253390736,2617.0457939946245,0.04612858274157572,-0.011704518583092051
production,15,165066.9057230455,171036.21743831754,2560.5242848083044,2514.506056155329,0.03616298305904851,-0.017972189885486854
production,16,178684.31775700935,181986.1687022769,2481.340390100858,2424.550983310115,0.018478683449756807,-0.022886584612615148
two_layer_blind,1,1149.126601742696,1095.960020656493,248.39861410269177,251.23273786667664,-0.046266948311503506,0.011409579615501425
two_layer_blind,2,5195.172161611317,3945.3894643505873,621.0838013439777,631.3606474267465,-0.2405661753609916,0.01654663357912485
two_layer_blind,3,11103.029520295204,8394.420169297277,975.2318254909474,985.587665892484,-0.24395227861430668,0.01061884992968039
two_layer_blind,4,18456.06171441513,14044.850085656326,1269.09427565157,1282.91543186362,-0.23901153436832198,0.010890566979316065
two_layer_blind,5,36260.139271255066,28211.784716243284,1891.088771254197,1910.9728469754064,-0.22196149040696184,0.010514617834688985
two_layer_blind,6,58702.7203898051,44312.83143081186,2513.932051245854,2529.144990379665,-0.24513155205482326,0.006051451997786499
two_layer_blind,7,71067.29116766468,52805.7391659539,2605.674844153385,2616.688061537039,-0.2569614192642776,0.004226627665522274
two_layer_blind,8,81996.5771881461,59991.35772133062,2795.7223192336955,2813.763864656326,-0.2683675370536891,0.0064532680153927355
two_layer_blind,9,94497.03459747172,68198.28179253766,2783.1181653308736,2786.2784551983464,-0.27830241358322677,0.0011355212677781037
two_layer_blind,10,106605.26741914476,76350.01917763191,2775.7621661416856,2769.449432963501,-0.28380631627288094,-0.002274234174377945
two_layer_blind,11,118286.89393643984,84731.87253586356,2779.990593486149,2765.115246935182,-0.28367488809543606,-0.0053508621884627485
two_layer_blind,12,129212.5138101983,94049.89209457116,2535.868061142537,2707.8869065898807,-0.2721301573567241,0.06783430419082626
two_layer_blind,13,140258.90562036054,103716.67349124212,2726.932891209241,2693.3129087159014,-0.2605341312731147,-0.012328863171411263
two_layer_blind,14,151917.0532262114,112613.7503322146,2648.0398253390736,2607.7495372478134,-0.2587155428526671,-0.01521513676105727
two_layer_blind,15,165066.9057230455,120763.3160429294,2560.5242848083044,2505.2675120943645,-0.2683977717159736,-0.02158025723160705
two_layer_blind,16,178684.31775700935,128287.10892237267,2481.340390100858,2415.3895737331704,-0.2820460657502761,-0.026578705860265586
