case,dP_sim,dP_exp,err_dP%,Q_sim,Q_exp,err_Q%,wall_s,exit_A,simple_iters_A,outer_iters,converged,res_mass_legacy,res_mom,res_mass_local,res_mass_global,backflow_frac,mode,mom_tol
1,1335.8004153205263,1149.126601742696,16.24484310908233,251.2512837526645,248.39861410269177,1.1484241408824456,3.1886514000361785,velocity,77,3,False,0.0008478403926737807,,,,,legacy,
2,4913.770420905849,5195.172161611317,-5.416600873881134,631.5012227092227,621.0838013439777,1.6772972250608518,0.20189959998242557,velocity,81,3,False,0.0009184110642950863,,,,,legacy,
3,10569.386569658749,11103.029520295204,-4.806282372401244,986.0256537928633,975.2318254909474,1.1067961503904111,0.22076619998551905,velocity,87,3,False,0.0009352360189995235,,,,,legacy,
4,17863.500239029538,18456.061714415126,-3.2106604570072887,1283.833550398183,1269.09427565157,1.161401089690185,0.20856060000369325,velocity,88,3,False,0.0009395105073806557,,,,,legacy,
5,36609.660189392984,36260.139271255066,0.9639260222450322,1913.8509462876889,1891.0887712541967,1.2036544967900167,0.22240580001380295,velocity,90,3,False,0.0009287725266613006,,,,,legacy,
6,58711.038106945576,58702.7203898051,0.014169219220578974,2534.932524308643,2513.932051245854,0.8353635911671474,0.21489269996527582,velocity,98,3,False,0.000907024242255213,,,,,legacy,
7,70571.89032757866,71067.29116766468,-0.6970869888895157,2623.2120841201163,2605.674844153385,0.6730402300993664,0.2213886000099592,velocity,97,3,False,0.0008947059790450546,,,,,legacy,
8,80746.66536102061,81996.5771881461,-1.5243463446742254,2821.9037860424846,2795.7223192336955,0.9364830916385642,0.2227697999915108,velocity,99,3,False,0.0008855422833567503,,,,,legacy,
9,92429.88697035461,94497.03459747173,-2.1875264508802195,2794.787511518878,2783.1181653308736,0.41929036048015556,0.22222270001657307,velocity,98,3,False,0.0008741199465921984,,,,,legacy,
10,104133.70197448702,106605.26741914477,-2.318427132629561,2778.503410338831,2775.7621661416856,0.09875645077171248,0.22576489998027682,velocity,96,3,False,0.0008627501513900256,,,,,legacy,
11,116318.61243117876,118286.89393643984,-1.6639895086929213,2774.801559720403,2779.9905934861486,-0.18665652243227238,0.21410719997948036,velocity,94,3,False,0.0008501982387674105,,,,,legacy,
12,130285.39466914063,129212.5138101983,0.8303227197624949,2718.0350873154994,2535.868061142537,7.183616094399124,0.21265000000130385,velocity,94,3,False,0.0008324688296352423,,,,,legacy,
13,145036.56666704145,140258.90562036054,3.4063156457334873,2704.1061092848927,2726.9328912092415,-0.8370863103355062,0.2155186000163667,velocity,95,3,False,0.0008129190510398939,,,,,legacy,
14,158605.93563920585,151917.0532262114,4.402983253653824,2618.717923029132,2648.0398253390736,-1.1073059411478752,0.21970299998065457,velocity,95,3,False,0.0007977928745606828,,,,,legacy,
15,170734.0519280415,165066.9057230455,3.4332419210090044,2516.089728952052,2560.5242848083044,-1.735369436637812,0.21318660001270473,velocity,94,3,False,0.0007898534424368304,,,,,legacy,
16,181663.84679901096,178684.31775700935,1.6674821156120905,2426.0895111870072,2481.340390100858,-2.22665455873246,0.21324889996321872,velocity,92,3,False,0.0007864722072002472,,,,,legacy,
1,1332.3969428640394,1149.126601742696,15.948664041316823,251.25299761765567,248.39861410269177,1.1491141064836432,0.4249365999712609,tol,179,3,False,0.0008410698145698421,0.0008444364866390796,3.389492704359955e-08,4.744690342131134e-07,0.0,f2@0.001,0.001
2,4911.08029507809,5195.172161611317,-5.468382138179506,631.5077079155867,621.0838013439777,1.678341400798485,0.38851420005084947,tol,193,3,False,0.0009118291882167358,0.00033986082796614426,4.337149020556452e-08,8.404263103902648e-07,0.0,f2@0.001,0.001
3,10586.799691379754,11103.029520295204,-4.6494502061066685,986.0133950074667,975.2318254909474,1.105539137947195,0.38272380002308637,tol,203,3,False,0.0009316262069547224,0.00017987648306197365,4.0925156505531955e-08,8.735432269988056e-07,0.0,f2@0.001,0.001
4,17907.769072053063,18456.061714415126,-2.970799788417582,1283.7918865488487,1269.09427565157,1.1581181303282464,0.38975119998212904,tol,206,3,False,0.0009365032919813595,0.0001251650860134128,3.7657105275564635e-08,8.552479049213624e-07,0.0,f2@0.001,0.001
