L_mm,t_mm,Q_W_per_m,dP_Pa,mass_kg_per_m
4.000000000000000000e+00,2.999999999999999889e-01,1.323374566384808350e+04,1.282285420292713570e+04,1.392021901245117377e+01
4.000000000000000000e+00,3.499999999999999778e-01,1.255357413444604208e+04,1.338790833494090657e+04,1.622935178833007797e+01
4.000000000000000000e+00,4.000000000000000222e-01,1.189061952511977142e+04,1.393365080075590959e+04,1.847951229858398747e+01
4.000000000000000000e+00,4.500000000000000111e-01,1.124176896419491095e+04,1.441316957081924375e+04,2.069742235107421635e+01
4.000000000000000000e+00,5.000000000000000000e-01,1.059059771592560355e+04,1.491115765068505243e+04,2.292270393676756868e+01
4.500000000000000000e+00,2.999999999999999889e-01,1.364941008175770912e+04,1.105685127872926387e+04,1.246894841308593804e+01
4.500000000000000000e+00,3.499999999999999778e-01,1.307118407711324835e+04,1.144681777040707675e+04,1.447953409423828219e+01
4.500000000000000000e+00,4.000000000000000222e-01,1.248916906692165139e+04,1.184448072800316731e+04,1.650854860839844207e+01
4.500000000000000000e+00,4.500000000000000111e-01,1.191901532352228787e+04,1.227429084101816625e+04,1.847951229858399103e+01
4.500000000000000000e+00,5.000000000000000000e-01,1.134243138123919380e+04,1.270028043675370463e+04,2.046798338012695950e+01
5.000000000000000000e+00,2.999999999999999889e-01,1.394832754852488506e+04,9.683234706680270392e+03,1.116971568603515408e+01
5.000000000000000000e+00,3.499999999999999778e-01,1.343247473276746132e+04,9.972965825828207016e+03,1.303839935302734787e+01
5.000000000000000000e+00,4.000000000000000222e-01,1.292764991731716873e+04,1.032021620196177173e+04,1.484718931274413833e+01
5.000000000000000000e+00,4.500000000000000111e-01,1.241312687125219782e+04,1.067559608760671472e+04,1.665505783081055213e+01
5.000000000000000000e+00,5.000000000000000000e-01,1.189777638001453124e+04,1.107545303534302184e+04,1.847951229858397681e+01
5.500000000000000000e+00,2.999999999999999889e-01,1.409208110844120529e+04,8.759769819567449304e+03,1.018285167846679684e+01
5.500000000000000000e+00,3.499999999999999778e-01,1.365415347822706099e+04,8.990406744345469633e+03,1.184697529907226254e+01
5.500000000000000000e+00,4.000000000000000222e-01,1.320931903799789143e+04,9.204940265019764411e+03,1.349451296997070671e+01
5.500000000000000000e+00,4.500000000000000111e-01,1.276075523358118517e+04,9.474095916338341340e+03,1.515955803222656328e+01
5.500000000000000000e+00,5.000000000000000000e-01,1.230270419111977753e+04,9.756297148902320259e+03,1.681262435302734204e+01
6.000000000000000000e+00,2.999999999999999889e-01,1.415773354626286891e+04,8.039101704625059938e+03,9.336968243408200863e+00
6.000000000000000000e+00,3.499999999999999778e-01,1.375848190713137410e+04,8.183197906248400614e+03,1.092645509033203410e+01
6.000000000000000000e+00,4.000000000000000222e-01,1.335887276578457204e+04,8.336984755498644518e+03,1.246894841308593982e+01
6.000000000000000000e+00,4.500000000000000111e-01,1.298220795370562337e+04,8.497629884814483376e+03,1.392021901245117377e+01
6.000000000000000000e+00,5.000000000000000000e-01,1.257998445319210441e+04,8.675116032980135060e+03,1.543322620239257859e+01
6.500000000000000000e+00,2.999999999999999889e-01,1.405322697266674732e+04,8.990220196206442779e+03,8.670765930175779346e+00
6.500000000000000000e+00,3.499999999999999778e-01,1.371910712575346588e+04,9.079872295636254421e+03,1.005569273071288805e+01
6.500000000000000000e+00,4.000000000000000222e-01,1.338044614433346578e+04,9.158281197759160932e+03,1.143785520629882946e+01
6.500000000000000000e+00,4.500000000000000111e-01,1.300837540582229121e+04,9.272994976002682961e+03,1.290294743041992298e+01
6.500000000000000000e+00,5.000000000000000000e-01,1.266178680112436450e+04,9.394739174925398402e+03,1.432749622192382688e+01
7.000000000000000000e+00,2.999999999999999889e-01,1.403240497725768000e+04,7.976576473654553411e+03,8.014699475097657455e+00
7.000000000000000000e+00,3.499999999999999778e-01,1.372740741331930622e+04,8.036065837782842209e+03,9.336968243408204415e+00
7.000000000000000000e+00,4.000000000000000222e-01,1.341271083575545163e+04,8.081856162610713000e+03,1.071083774414061907e+01
7.000000000000000000e+00,4.500000000000000111e-01,1.311620171905603820e+04,8.134632782440790834e+03,1.196307694702148439e+01
7.000000000000000000e+00,5.000000000000000000e-01,1.279927947185413905e+04,8.184923553464699580e+03,1.328165994873046962e+01
7.500000000000000000e+00,2.999999999999999889e-01,1.405811750251487501e+04,5.554610738531220704e+03,7.503299359130858548e+00
7.500000000000000000e+00,3.499999999999999778e-01,1.376273201513106324e+04,5.576945953048216325e+03,8.770281628417968989e+00
7.500000000000000000e+00,4.000000000000000222e-01,1.349650206491382050e+04,5.582610563178656776e+03,9.961705682373048987e+00
7.500000000000000000e+00,4.500000000000000111e-01,1.322869435115287342e+04,5.619216147959679802e+03,1.116971568603515763e+01
7.500000000000000000e+00,5.000000000000000000e-01,1.293942499803647661e+04,5.664710271792148887e+03,1.246894841308593804e+01
8.000000000000000000e+00,2.999999999999999889e-01,1.401464136011843948e+04,3.085171656554914080e+03,7.083121966552733184e+00
8.000000000000000000e+00,3.499999999999999778e-01,1.378159200755314669e+04,3.087153190181098580e+03,8.158444372558594893e+00
8.000000000000000000e+00,4.000000000000000222e-01,1.353089417064305053e+04,3.109463901473960959e+03,9.336968243408204415e+00
8.000000000000000000e+00,4.500000000000000111e-01,1.326897034805897783e+04,3.143830955751982401e+03,1.053944959716797314e+01
8.000000000000000000e+00,5.000000000000000000e-01,1.304149302679280481e+04,3.177690606102120000e+03,1.160647902832031164e+01
