Q_old,dP_old,Q_new,dP_new
1.407117000000000007e+04,6.723193000000000211e+03,1.407101626187422880e+04,6.723243334490804045e+03
1.452743000000000029e+04,1.054355999999999949e+04,1.452743224812400149e+04,1.054342988525648070e+04
1.397287999999999920e+04,3.541530000000000200e+03,1.397288329314256225e+04,3.541521471358482813e+03
1.441639999999999964e+04,9.639865999999999985e+03,1.441608887306996075e+04,9.639899163611760741e+03
1.427537999999999920e+04,7.169521999999999935e+03,1.427539084519193420e+04,7.169447435449676959e+03
1.403401000000000022e+04,6.031902000000000044e+03,1.403383149545462584e+04,6.031880700575527044e+03
1.353951000000000022e+04,3.332262999999999920e+03,1.353952470820011513e+04,3.332242523008263561e+03
1.437367000000000007e+04,8.445933999999999287e+03,1.437340573261898317e+04,8.445816230723887202e+03
1.452461000000000058e+04,9.838278000000000247e+03,1.452428315534051944e+04,9.838172034458475537e+03
1.370255999999999949e+04,2.941661999999999807e+03,1.370256928255799721e+04,2.941645305769181505e+03
1.397512999999999920e+04,3.133414999999999964e+03,1.397513397214500037e+04,3.133338389863299653e+03
1.427690999999999985e+04,6.858649000000000342e+03,1.427691744997022943e+04,6.858508112395176795e+03
1.459336000000000058e+04,9.838790000000000873e+03,1.459300736544429492e+04,9.838734177208491019e+03
1.409337999999999920e+04,4.969706000000000131e+03,1.409337677969868855e+04,4.969684326661180421e+03
1.448181999999999971e+04,7.502993000000000393e+03,1.448181970353304860e+04,7.502980154676718485e+03
1.448612000000000080e+04,9.137811999999999898e+03,1.448612106423723890e+04,9.137697792486362232e+03
1.417063999999999942e+04,6.835442000000000007e+03,1.417063412722999419e+04,6.835539033456490870e+03
1.402142000000000007e+04,3.688641999999999825e+03,1.402141482347525016e+04,3.688728250071033926e+03
1.446429999999999927e+04,7.505853000000000065e+03,1.446430579770022086e+04,7.505849485411143178e+03
1.451669000000000051e+04,9.785224000000000160e+03,1.451634272713590144e+04,9.785323557798092224e+03
1.341779999999999927e+04,2.788815999999999804e+03,1.341779947027150774e+04,2.788858404261316537e+03
1.385337999999999920e+04,3.023768000000000029e+03,1.385339713358833251e+04,3.023547786489817554e+03
1.409717000000000007e+04,5.075358000000000175e+03,1.409715741212815192e+04,5.075419277580412199e+03
