x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,Q_W_per_m,dP_Pa
4.797893e+00,4.683729e+00,6.997428e+00,4.737255e+00,6.202090e+00,7.062555e+00,5.450670e+00,7.931113e+00,4.847631e-01,3.305261e-01,4.529812e-01,3.975814e-01,3.407415e-01,3.939466e-01,4.525224e-01,4.575546e-01,1.301322e+04,8.539348e+03
6.818994e+00,7.967993e+00,4.675367e+00,6.764094e+00,5.400320e+00,4.327378e+00,6.285887e+00,4.910539e+00,3.673780e-01,4.757987e-01,3.396272e-01,4.546948e-01,4.382432e-01,4.793865e-01,3.231406e-01,3.278259e-01,1.343524e+04,1.146438e+04
7.323179e+00,5.523555e+00,7.619300e+00,5.684937e+00,4.432389e+00,5.749695e+00,4.363958e+00,5.661604e+00,3.264668e-01,4.079606e-01,3.836013e-01,4.471812e-01,3.676664e-01,3.054588e-01,3.672253e-01,4.193568e-01,1.341858e+04,9.082158e+03
5.309829e+00,6.870135e+00,5.801663e+00,7.814439e+00,7.232277e+00,6.984976e+00,7.403757e+00,6.680093e+00,4.215878e-01,3.594970e-01,4.206411e-01,3.050821e-01,4.642863e-01,4.211962e-01,4.067637e-01,3.897959e-01,1.335544e+04,7.574087e+03
5.561607e+00,5.263260e+00,4.206564e+00,7.146780e+00,7.958093e+00,7.929275e+00,4.538271e+00,5.210115e+00,3.242203e-01,4.593192e-01,3.684374e-01,3.377815e-01,3.954449e-01,4.671553e-01,4.460777e-01,3.669024e-01,1.283046e+04,6.657916e+03
7.571018e+00,6.107948e+00,6.403609e+00,5.354314e+00,4.626998e+00,4.680304e+00,7.702101e+00,6.197485e+00,4.291053e-01,3.109216e-01,4.304208e-01,4.083775e-01,4.992153e-01,3.563729e-01,3.784135e-01,4.496707e-01,1.381144e+04,1.116303e+04
6.067322e+00,4.415704e+00,5.332951e+00,6.212767e+00,5.657359e+00,5.258005e+00,5.655265e+00,7.448388e+00,4.645507e-01,3.803222e-01,4.994483e-01,4.881808e-01,3.191947e-01,4.338185e-01,3.373425e-01,3.037573e-01,1.281204e+04,8.607485e+03
4.050159e+00,7.197954e+00,7.025634e+00,4.286392e+00,6.990475e+00,6.006836e+00,6.616449e+00,4.459197e+00,3.819296e-01,4.256607e-01,3.110439e-01,3.579896e-01,4.220825e-01,3.426409e-01,4.885999e-01,4.866995e-01,1.344903e+04,9.524004e+03
4.284516e+00,5.787465e+00,5.082603e+00,5.128151e+00,5.006214e+00,6.734850e+00,4.873552e+00,5.272999e+00,3.065339e-01,3.698332e-01,3.137355e-01,3.827208e-01,4.820053e-01,4.400244e-01,3.554826e-01,3.571315e-01,1.340579e+04,9.613165e+03
6.332965e+00,6.567654e+00,7.275738e+00,7.374658e+00,6.329350e+00,5.999325e+00,7.897734e+00,6.260364e+00,4.391488e-01,4.245775e-01,4.757721e-01,4.648588e-01,3.844811e-01,3.366397e-01,4.200217e-01,4.274119e-01,1.324304e+04,7.689615e+03
7.836662e+00,4.877322e+00,4.456916e+00,4.199863e+00,7.361727e+00,4.077992e+00,5.944617e+00,7.011242e+00,4.544999e-01,4.908222e-01,4.447462e-01,4.323329e-01,4.080494e-01,4.605712e-01,4.642164e-01,3.189864e-01,1.251492e+04,1.156537e+04
5.795964e+00,7.720194e+00,6.153501e+00,6.297076e+00,4.036581e+00,7.313413e+00,6.795450e+00,4.022044e+00,3.996210e-01,3.393306e-01,3.563955e-01,3.152581e-01,3.114017e-01,3.627771e-01,3.098339e-01,4.894407e-01,1.380422e+04,9.473367e+03
5.044218e+00,4.148368e+00,7.869435e+00,6.726095e+00,4.779031e+00,6.257694e+00,5.145296e+00,7.618961e+00,4.961985e-01,4.418872e-01,4.045825e-01,3.291831e-01,4.304509e-01,3.238714e-01,3.490378e-01,4.665321e-01,1.215982e+04,6.653554e+03
7.088789e+00,7.489226e+00,5.551284e+00,4.776466e+00,7.572906e+00,5.008619e+00,6.122114e+00,4.598393e+00,3.510836e-01,3.902677e-01,3.911752e-01,4.248036e-01,3.267077e-01,4.025971e-01,4.752946e-01,3.493156e-01,1.388325e+04,1.089587e+04
6.584604e+00,5.050598e+00,6.747289e+00,7.664152e+00,6.603083e+00,4.929934e+00,4.043967e+00,5.849483e+00,3.427669e-01,3.193355e-01,3.352028e-01,4.795703e-01,4.533233e-01,3.751553e-01,4.343333e-01,4.033343e-01,1.354321e+04,9.103919e+03
4.532281e+00,6.328896e+00,4.925749e+00,5.832562e+00,5.811109e+00,7.679150e+00,7.192163e+00,6.867978e+00,4.101459e-01,4.739522e-01,4.721890e-01,3.744034e-01,3.504557e-01,4.983881e-01,3.916699e-01,3.862857e-01,1.283347e+04,7.678085e+03
4.635689e+00,5.215777e+00,7.466579e+00,6.082967e+00,7.010806e+00,5.142162e+00,6.450706e+00,5.990891e+00,4.463751e-01,3.000955e-01,4.653383e-01,3.460238e-01,4.163088e-01,4.698557e-01,4.145095e-01,4.528494e-01,1.336893e+04,9.312130e+03
6.747432e+00,6.437434e+00,5.143586e+00,4.414464e+00,4.339894e+00,6.404909e+00,5.285423e+00,6.980217e+00,3.008710e-01,4.547126e-01,3.271845e-01,4.000368e-01,3.126638e-01,3.536847e-01,3.595407e-01,3.324804e-01,1.351844e+04,1.003163e+04
