tpms,variant,c,a,b,d,rmsre_far,medape_far,p95ape_far,rmsre_near,medape_near,p95ape_near,rmsre_all,medape_all,p95ape_all,e,p,q
Diamond,V0_far_b13,0.16958824596164157,0.7199913679232139,0.3333333333333333,-0.22988649826862995,0.08930565690869437,0.061332260625192744,0.17495171951217017,0.24209708597650031,0.10578567476075007,0.489140905849037,0.18890290888459454,0.09170481788235801,0.38878782397221284,,,
Diamond,V0f_far,0.16858729191328112,0.7185509915691712,0.3704104814552353,-0.23500367536955638,0.08922262494068607,0.061501499171984955,0.17415663943403276,0.2573014399839575,0.11548050746759317,0.48401728451703835,0.2012805940897378,0.09706779390557987,0.39168231861946035,,,
Diamond,V0b_all_b13,0.1848094140371537,0.7074209735189078,0.3333333333333333,-0.28179245694846755,0.093265052012973,0.06475263857995205,0.1778976737175705,0.24238198816988019,0.11365485048519441,0.4842523730744816,0.19100624088566215,0.09782795789069719,0.38633583782533354,,,
Diamond,V2_mu_b13,0.18096392009038353,0.7281544302648916,0.3333333333333333,-0.21526899857468051,0.14795343362267802,0.10617061288618454,0.2805056152681364,0.20966982978333096,0.07970169929217304,0.46359851593429785,0.1689756537053518,0.083387465633883,0.34947915750056313,0.5839122616035074,,
Diamond,V1c_jackson,0.21139865852049033,0.7209236184784275,0.3333333333333333,-0.22670340770615716,0.1159089650098057,0.08211817282552633,0.22198327188280773,0.2687688101332759,0.08679614649499189,0.47335442658369786,0.19951729285153488,0.08471802958429667,0.3456331391671917,,0.6501151494245546,-0.25982480760436877
Gyroid,V0_far_b13,0.18430101809287813,0.7297655676559652,0.3333333333333333,-0.0006586238359833629,0.07275901640884207,0.05049732248119329,0.13822926634156155,0.257475495200304,0.09087521428340276,0.5231280740444533,0.19002361252737784,0.0773054843783358,0.3739537289773345,,,
Gyroid,V0f_far,0.1827182832190658,0.7282404161444888,0.3790144467307723,-0.005444337716989475,0.0725312646803609,0.050079536067670696,0.13989696652012326,0.2876885657853681,0.10438690257905969,0.5720003076458429,0.21184887242184444,0.08429190020530475,0.37903230611216937,,,
Gyroid,V0b_all_b13,0.19299399429791675,0.7222208209642634,0.3333333333333333,-0.04431343315880148,0.07366921375028158,0.05145294876057601,0.14068595645478363,0.2569982781038361,0.09381210084044002,0.5164869826591951,0.19016290808049127,0.0786047255425017,0.37250886309993214,,,
Gyroid,V2_mu_b13,0.19026615710700312,0.7385871697410736,0.3333333333333333,0.002182044755071,0.12269335637538899,0.08974800506698108,0.22964622581184058,0.22005623442119931,0.06421785108588689,0.4782616141173126,0.16627455290737403,0.06672812487001169,0.34186621503350406,0.48859019153288474,,
Gyroid,V1c_jackson,0.21541260233974083,0.7362582458087518,0.3333333333333333,0.0009397330820374583,0.10191475336810124,0.07555853008648375,0.19080624575298505,0.2548525478911377,0.0732319471098466,0.5227357018483914,0.18505052584011666,0.07119110204071283,0.35237978452913915,,0.5157803293882492,-0.14774345300317354
