item,topo,side,metric,value
DATA,Diamond,-,rows_total,102.0
DATA,Diamond,-,ok_dp_true,99.0
DATA,Diamond,-,ok_dT_true,54.0
DATA,Diamond,-,ok_hb_true,92.0
DATA,Diamond,-,ok_done_true,102.0
DATA,Gyroid,-,rows_total,88.0
DATA,Gyroid,-,ok_dp_true,71.0
DATA,Gyroid,-,ok_dT_true,84.0
DATA,Gyroid,-,ok_hb_true,84.0
DATA,Gyroid,-,ok_done_true,88.0
BASE,Diamond,pooled,gamma_nu_med,1.7493569232613848
BASE,Diamond,pooled,gamma_nu_p10,1.4770948699705888
BASE,Diamond,pooled,gamma_nu_p90,2.103118148249894
BASE,Diamond,cold,gamma_f_med,4.185754036252478
BASE,Diamond,cold,gamma_f_p10,2.113494516707224
BASE,Diamond,cold,gamma_f_p90,4.8196173308018935
BASE,Diamond,cold,gamma_f_G0,0.00033626760157289524
BASE,Diamond,cold,gamma_f_dexp,0.9297718472761097
BASE,Diamond,hot,gamma_f_med,6.998689076719616
BASE,Diamond,hot,gamma_f_p10,6.121830550016607
BASE,Diamond,hot,gamma_f_p90,7.432161153990668
BASE,Diamond,hot,gamma_f_G0,1.9799832944650704
BASE,Diamond,hot,gamma_f_dexp,0.12624063084828732
HOLD,Diamond,cold,gamma_f_loo_medape,0.16791545859188434
HOLD,Diamond,cold,gamma_f_resplit_fwd,0.3687432917154636
HOLD,Diamond,cold,gamma_f_resplit_rev,0.1641452780149512
HOLD,Diamond,hot,gamma_f_loo_medape,0.019593459402917002
HOLD,Diamond,hot,gamma_f_resplit_fwd,0.05818873788718543
HOLD,Diamond,hot,gamma_f_resplit_rev,0.04152732201302232
HOLD,Diamond,pooled,gamma_nu_loo_medape,0.11393361161503172
XFLUID,Diamond,-,gamma_air_cf_ratio_7_06,1.5331350935988408
XFLUID,Diamond,-,d76_sco2_dp_ratio_hist,3.4
XFLUID,Diamond,cold,gamma_f_med_over_gamma_air,2.730192566675223
XFLUID,Diamond,hot,gamma_f_med_over_gamma_air,4.564952629380545
GUARD,Diamond,-,re_window_lo,8801.07548108971
GUARD,Diamond,-,re_window_hi,41036.26599051389
GUARD,Diamond,-,guard_selftest_ok,1.0
BASE,Gyroid,pooled,gamma_nu_med,1.0741932698680112
BASE,Gyroid,pooled,gamma_nu_p10,1.031578481637752
BASE,Gyroid,pooled,gamma_nu_p90,1.1235121699072956
BASE,Gyroid,cold,gamma_f_med,3.327963991241188
BASE,Gyroid,cold,gamma_f_p10,1.2738750267543222
BASE,Gyroid,cold,gamma_f_p90,4.5779873917020355
BASE,Gyroid,cold,gamma_f_G0,3.2625568927439723e-09
BASE,Gyroid,cold,gamma_f_dexp,1.9898816647240565
BASE,Gyroid,hot,gamma_f_med,7.846001388498895
BASE,Gyroid,hot,gamma_f_p10,7.344678094577366
BASE,Gyroid,hot,gamma_f_p90,8.233201076271088
BASE,Gyroid,hot,gamma_f_G0,2.9101151973321335
BASE,Gyroid,hot,gamma_f_dexp,0.09793343418160588
HOLD,Gyroid,cold,gamma_f_loo_medape,0.13781615843555964
HOLD,Gyroid,cold,gamma_f_resplit_fwd,0.4750438977970016
HOLD,Gyroid,cold,gamma_f_resplit_rev,0.3781266626850554
HOLD,Gyroid,hot,gamma_f_loo_medape,0.012630854759267465
HOLD,Gyroid,hot,gamma_f_resplit_fwd,0.019362497874461766
HOLD,Gyroid,hot,gamma_f_resplit_rev,0.025942085661148733
HOLD,Gyroid,pooled,gamma_nu_loo_medape,0.02685547138998641
XFLUID,Gyroid,-,gamma_air_cf_ratio_7_06,1.956572216926803
XFLUID,Gyroid,-,d76_sco2_dp_ratio_hist,3.4
XFLUID,Gyroid,cold,gamma_f_med_over_gamma_air,1.7009154900852248
XFLUID,Gyroid,hot,gamma_f_med_over_gamma_air,4.010075028471295
GUARD,Gyroid,-,re_window_lo,10632.405680243332
GUARD,Gyroid,-,re_window_hi,48961.25289670842
GUARD,Gyroid,-,guard_selftest_ok,1.0
