case,topo,side,mdot,Tin_C,Pin_MPa,Tout_C,Pout_MPa,Q_kW,dP_MPa,HB,done,T_mean_K,P_mean_Pa,T_other_K,rho,mu,cp,k,Pr,u,Re,f,T_wall_K,dT_streams_K,h,Nu,ok_dp,ok_dT,ok_hb,ok_done,Nu_cfd,gamma_Nu,metric,f_cfd,gamma_f,dP_gauge_MPa
10,Diamond,hot,0.09926740196078435,166.23333333333335,9.054823529411767,115.84509803921566,8.997156862745099,6.190044833957556,0.057666666666667865,0.10595983352995904,完成,414.18921568627445,9025990.196078433,403.05784313725485,134.21936306280963,2.2469510661736328e-05,1237.1003907069683,0.031426532377213885,0.8845086720029893,1.2459707087728087,19344.28094568469,7.90452571011641,408.62352941176465,11.131372549019602,6614.487148636885,547.0448236403878,True,True,True,True,252.69839133402064,2.1648132414000827,Nu,,,
11,Diamond,hot,0.12332769371345029,161.43026315789473,8.549644736842104,118.446052631579,8.454276315789473,6.415153129326136,0.09536842105263155,0.1195231706884472,完成,413.0881578947368,8501960.526315788,403.0684210526315,125.85350052975095,2.222940578200277e-05,1217.9769570875962,0.030922213553928754,0.87558104354367,1.6508653835458234,24292.505309101747,7.941412910609048,408.07828947368415,10.019736842105317,7615.559446811167,640.1097416864083,True,True,True,True,295.877390354057,2.1634290505280958,Nu,,,
12,Diamond,hot,0.1490760590277778,167.17250000000007,9.002174999999998,117.64124999999997,8.872387500000002,9.02249773313834,0.1297874999999955,0.1295807995270846,完成,415.556875,8937281.25,401.15250000000003,131.9550607459231,2.2480908314242805e-05,1230.1177415995303,0.03141470844759157,0.8802935163557946,1.9032603620057722,29035.786791627703,7.755185978514078,408.3546875,14.404374999999959,7450.466443027059,616.4156108288646,True,True,True,True,336.2688010279282,1.8331037816906164,Nu,,,
13,Diamond,hot,0.17556528133903132,164.50769230769234,8.512038461538465,116.02179487179484,8.326794871794867,10.199564254107319,0.18524358974359778,0.13522930871810113,完成,413.4147435897436,8419416.666666666,398.2474358974358,124.28844791672839,2.22100032968882e-05,1213.8693516721905,0.03086935245203865,0.8733595025849148,2.3797110253982705,34612.228621958595,7.517021374786277,405.8310897435897,15.167307692307759,7998.788647855075,673.4725537505424,True,True,True,True,379.76516508682477,1.7733921266753574,Nu,,,
14,Diamond,hot,0.048290833333333345,191.66250000000005,8.340734374999998,113.69687500000002,8.326671874999999,4.506808933836173,0.014062499999999645,0.05119196006900227,完成,425.8296875,8333703.125,408.07578125,117.11600563443322,2.26249672941859e-05,1187.6928230981607,0.03147480580435851,0.8537466901357066,0.6946480143828972,9345.79584309628,7.10719928573266,416.952734375,17.75390625,3019.4394491744333,249.33684790089637,True,True,True,True,149.2719303169524,1.6703532095516815,Nu,,,
15,Diamond,hot,0.07417716553287984,199.14693877551025,8.524857142857144,127.44693877551019,8.490102040816327,6.290825491969785,0.03475510204081722,0.0484520692482956,完成,436.4469387755102,8507479.591836734,419.15714285714284,115.36273063663299,2.3068174485037228e-05,1178.2687360045047,0.03221388226925732,0.8437514163996112,1.0832309431111762,14079.802282103528,7.333186543818573,427.80204081632655,17.28979591836736,4327.8168299086565,349.1797129053894,True,True,True,True,198.69195715634976,1.7573922865464633,Nu,,,
16,Diamond,hot,0.09870848039215688,193.5882352941177,8.483392156862744,123.1078431372549,8.418411764705883,8.250732228875231,0.06498039215686013,0.08675604878351884,完成,431.4980392156863,8450901.960784314,411.3627450980392,116.53286443178187,2.2869865810606103e-05,1183.145495370881,0.03188538321833014,0.8486138782863968,1.4269948144473075,18898.633356622937,7.821155548762126,421.43039215686275,20.13529411764705,4874.001016557752,397.29872718279796,True,True,True,True,245.15711654053044,1.620588187645431,Nu,,,
17,Diamond,hot,0.12392348333333332,200.32200000000003,8.919799999999999,125.55000000000001,8.820799999999998,11.041597238468823,0.0990000000000002,0.08456119891370033,完成,436.086,8870299.999999998,412.571,120.99775221168956,2.3173175568347027e-05,1189.7785642115634,0.03244759553880553,0.8497069535693971,1.7254113898131187,23415.725069663153,7.849723835605588,424.3285,23.514999999999986,5585.190863323445,447.3821974160415,True,True,True,True,285.41423231238616,1.567483841963358,Nu,,,
18,Diamond,hot,0.14916723794549266,196.99999999999997,9.038377358490566,123.30566037735852,8.899037735849058,13.152182270861237,0.1393396226415078,0.12931648744799246,完成,433.3028301886792,8968707.547169812,407.9632075471699,123.73000333233097,2.3107576873666587e-05,1196.9940807446533,0.03236281073279545,0.8546733769975532,2.0310226851740194,28265.6249162952,7.7974368099671745,420.63301886792453,25.339622641509322,6173.746264853161,495.821942333385,True,True,True,True,326.70189565368315,1.5176586023209848,Nu,,,
19,Diamond,hot,0.17643392156862744,164.2220588235294,9.021735294117649,116.64264705882351,8.845205882352943,10.242500852883937,0.17652941176470627,0.11596375428768783,完成,413.58235294117645,8933470.588235294,397.2036764705881,132.96638019546208,2.2412575395083825e-05,1234.7457980379395,0.03131722275348988,0.8836617956234446,2.2354069248076005,34469.094414899475,7.588288799719999,405.39301470588225,16.378676470588346,7438.379038409969,617.3312512536006,True,True,True,True,380.1365801278173,1.623972233995552,Nu,,,
20,Diamond,hot,0.04846226068376068,222.50769230769237,8.496476923076926,126.07692307692311,8.479661538461539,5.489046141583366,0.016815384615387785,0.03286161315319011,其他,447.44230769230774,8488069.230769232,423.5930769230769,110.86732666969502,2.346461575265866e-05,1165.4688588148683,0.03286037954294599,0.8322265087668779,0.7364045182329344,9043.35901827944,7.9882591908194645,435.5176923076923,23.849230769230815,2737.62278087746,216.53306838589313,True,True,True,True,144.60247867775834,1.4974367684832681,Nu,,,
21,Diamond,hot,0.0742376754385965,215.35087719298247,8.565771929824562,126.14561403508776,8.529263157894734,7.801225952959445,0.03650877192982804,0.03880409585008908,完成,443.8982456140351,8547517.543859648,419.4526315789474,113.04196456382714,2.3352618691034005e-05,1170.6955992376818,0.03268430410918,0.8364506657674416,1.1063715989624594,13919.650354490834,7.535937666092648,431.67543859649123,24.445614035087715,3795.8846531536615,301.854019598804,True,True,True,True,196.5203805153173,1.5359934618856323,Nu,,,
22,Diamond,hot,0.09899833857442346,214.7867924528302,9.031905660377362,127.67358490566039,8.970433962264153,10.254582566193154,0.06147169811320907,0.08393725479956574,完成,444.3801886792453,9001169.811320757,417.6707547169811,119.47447766518617,2.351153592368541e-05,1182.7246909946962,0.03301339977433951,0.842314764617661,1.3959475998234216,18436.838657129552,7.5412553108149245,431.02547169811317,26.7094339622642,4566.720188517441,359.5318344406389,True,True,True,True,240.30645709465756,1.4961388836048546,Nu,,,
23,Diamond,hot,0.12297697649572652,225.14615384615385,8.286250000000003,130.68269230769232,8.175999999999998,13.459274975054637,0.11025000000000418,0.092834315368692,完成,451.06442307692305,8231125.000000001,420.76249999999993,105.95907475538036,2.3523685839203702e-05,1155.6077767633749,0.03292327107918537,0.8256820602223981,1.9552486945881011,22890.6429087958,7.773529276474149,435.9134615384615,30.301923076923117,5283.267193806323,417.0832956134331,True,True,True,True,278.1990802513613,1.4992260047609995,Nu,,,
24,Diamond,hot,0.14889437996031749,212.49642857142848,8.677196428571431,129.57678571428568,8.528071428571426,14.464201911024333,0.14912500000000506,0.10894281992911364,完成,444.18660714285704,8602633.92857143,415.6294642857142,113.73384052459606,2.3380048817721007e-05,1171.903937189702,0.032737727316059805,0.8369295460449926,2.2054892826014787,27885.115124352073,7.698970503002166,429.90803571428563,28.55714285714282,6024.6361317646515,478.305631646293,True,True,True,True,321.3294839025533,1.488520834867878,Nu,,,
32,Diamond,hot,0.07456108695652174,200.89999999999998,9.074565217391303,141.90144927536232,9.037304347826089,5.215076536902769,0.03726086956521435,0.0123396568809081,完成,444.5507246376811,9055934.782608695,432.5166666666666,120.20701680516926,2.3535052029323206e-05,1184.0427301851778,0.03305999960947334,0.8429070656088246,1.044957823570989,13871.921347490364,8.10788256581847,438.53369565217383,12.034057971014533,5154.656002591789,405.2472188022042,True,True,True,True,196.54656191906147,2.061838247616289,Nu,,,
33,Diamond,hot,0.09960358828006084,209.41232876712328,9.677123287671236,145.8534246575343,9.61439726027397,7.552702832924385,0.06272602739726629,0.060057018948655186,完成,450.78287671232874,9645760.273972603,435.2212328767123,126.16478377512082,2.3943355765568837e-05,1192.3720944193524,0.033803882236961805,0.8445594817036296,1.3300047357049376,18215.0142669166,8.02758786771038,443.0020547945205,15.56164383561645,5772.95306528977,443.86882734270216,True,True,True,True,238.46895438769963,1.86132751947688,Nu,,,
34,Diamond,hot,0.1293984982638889,221.13750000000005,9.274999999999997,147.37656249999995,9.162593750000001,11.19906844328477,0.11240624999999582,0.1064148949006088,完成,457.40703125,9218796.874999998,435.68046874999993,117.47093266527267,2.4044217472453195e-05,1174.4238162752795,0.033889889297543226,0.8332308611405909,1.8557316291104453,23564.495090082444,7.936180004621697,446.54374999999993,21.726562500000057,6131.150547739814,470.21343017986015,True,True,True,True,284.8307009942753,1.6508523432988735,Nu,,,
35,Diamond,hot,0.14937667257683215,214.89361702127664,9.680765957446807,145.24468085106386,9.539744680851069,12.333562577761088,0.1410212765957386,0.10957963225107388,完成,453.2191489361702,9610255.319148937,431.69893617021273,124.63127534025666,2.4016768930892346e-05,1188.546982547129,0.033913177238428904,0.8417099360126524,2.01916631586635,27233.76912297619,7.926751150753415,442.45904255319147,21.520212765957467,6816.996663060261,522.4536902228438,True,True,True,True,316.60198750298633,1.6501908100558458,Nu,,,
37,Diamond,hot,0.04859173611111111,220.73749999999998,8.425104166666669,145.62916666666666,8.405479166666668,4.232131890292765,0.019625000000001336,-0.00419915400550702,完成,456.3333333333333,8415291.666666668,442.5489583333333,106.74585599018299,2.3771663122322197e-05,1155.9861208392665,0.03334121562339944,0.8241964824877395,0.7668805842666251,8950.399055885377,8.928632813634248,449.4411458333333,13.784375000000011,3651.9364771407377,284.6852614839058,True,True,True,True,143.08617654223227,1.9896070211917374,Nu,,,
38,Diamond,hot,0.07454945454545456,228.9090909090909,8.920981818181819,151.26363636363632,8.880036363636364,6.742355999065299,0.040945454545454396,0.03160182249216559,完成,463.2363636363636,8900509.090909092,446.6172727272726,111.02130497417222,2.4162035729024272e-05,1162.074928288521,0.03408260447475562,0.8238248329263543,1.1312393224515653,13509.84909317993,8.231371252950785,454.92681818181813,16.61909090909097,4825.646633456484,367.9984092698071,True,True,True,True,191.4366079923475,1.9222990478629747,Nu,,,
39,Diamond,hot,0.09908756038647344,226.0565217391304,9.324282608695652,150.50652173913045,9.25654347826087,8.788459945950013,0.06773913043478252,0.06962703123735331,完成,461.4315217391304,9290413.04347826,442.6478260869564,116.95673030044905,2.4209307031140947e-05,1172.4643331571533,0.034192533178040205,0.8301388164680683,1.4272835752182627,17921.581329113207,8.120367225142186,452.03967391304343,18.783695652174003,5565.226384333742,423.03349726283363,True,True,True,True,234.39540864425905,1.8047857665372184,Nu,,,
40,Diamond,hot,0.12387733539094649,230.60555555555558,9.078555555555555,153.0185185185185,8.969370370370374,11.175377509532431,0.10918518518518106,0.09731778268749339,完成,464.962037037037,9023962.962962965,443.25092592592586,112.09014183215618,2.4259570781344294e-05,1163.5572999306064,0.034267986011738846,0.8237251137591458,1.861833271619867,22358.789758390394,8.025951466754025,454.1064814814814,21.711111111111165,6122.53467336543,464.37183555655673,True,True,True,True,273.39440405749554,1.6985418452782164,Nu,,,
41,Diamond,hot,0.14922191414141417,213.82181818181817,9.491709090909088,152.8945454545454,9.344836363636366,10.673411607192813,0.14687272727272216,0.1251427417073633,完成,456.50818181818175,9418272.727272727,439.9981818181818,120.59612643674109,2.4072580683710198e-05,1180.1677360217445,0.03395421481579685,0.836705640222248,2.08456575430232,27142.4786884996,8.004946067302544,448.2531818181818,16.509999999999934,7689.662607435907,588.622409816428,True,True,True,True,315.22364798875435,1.867316787849074,Nu,,,
49,Diamond,hot,0.09846829487179484,238.87846153846155,8.487184615384614,171.10769230769242,8.410061538461541,7.623317695036835,0.07712307692307263,0.07829628417627424,完成,478.14307692307693,8448623.076923078,464.12307692307695,100.46168784889066,2.4589522631781268e-05,1144.0485441148173,0.034847122573987185,0.8072863837649397,1.6512479738576986,17534.196521388687,8.041574486462597,471.13307692307694,14.019999999999982,6467.6588769591635,482.395649189153,True,True,True,True,228.6621696859043,2.109643452836046,Nu,,,
50,Diamond,hot,0.12366313200815496,240.78715596330267,9.017366972477063,174.3394495412844,8.902082568807336,9.441269830662879,0.11528440366972781,0.08916076115210635,完成,480.71330275229354,8959724.7706422,466.44862385321096,106.17236265460654,2.4815125650103564e-05,1152.6913886311684,0.03529282534552904,0.8104814892157233,1.962208309286,21820.430417912605,8.054723962373354,473.58096330275225,14.264678899082583,7872.624010141455,579.7707256279917,True,True,True,True,267.2730577109232,2.169207516064187,Nu,,,
10,Diamond,cold,0.10247916122004361,105.4803921568627,10.588843137254901,154.33529411764707,10.56109803921569,6.845940954106681,0.02774509803921177,0.10595983352995904,完成,403.05784313725485,10574970.588235296,414.18921568627445,170.21997337382138,2.2849281952756862e-05,1350.1755822171165,0.03257848149923745,0.9469607281889014,1.0142415415153816,19638.23963809277,4.525585387540556,408.62352941176465,11.131372549019602,7315.357105792503,583.6169450976266,True,True,True,True,261.2839205048761,2.233650444198441,Nu,,,
11,Diamond,cold,0.12500714546783626,107.58157894736841,9.091828947368418,152.25526315789466,9.03851315789474,7.18191257179511,0.0533157894736771,0.1195231706884472,完成,403.0684210526315,9065171.052631581,413.0881578947368,141.5661504524969,2.2121978720221313e-05,1271.1936530462042,0.030983531590600993,0.9076214846502283,1.4876191700056451,24742.889629137015,4.860653875569253,408.07828947368415,10.019736842105317,8525.795258460394,715.1994635515699,True,True,True,True,303.3601070816255,2.357592336157537,Nu,,,
12,Diamond,cold,0.15100304513888885,102.23249999999999,9.318425000000001,153.7725000000001,9.246212499999999,10.191640203129715,0.07221250000000268,0.1295807995270846,完成,401.15250000000003,9282318.75,415.556875,146.89184959001304,2.21597844071562e-05,1289.0950351946433,0.031131194120304233,0.9176027090338147,1.7318264039931939,29837.313984194952,4.6815296112764635,408.3546875,14.404374999999959,8415.903841564217,702.6324196952231,True,True,True,True,347.58552836110607,2.0214662647440815,Nu,,,
13,Diamond,cold,0.17710196225071223,100.60769230769228,9.497692307692306,149.58717948717947,9.398166666666667,11.578844277416106,0.09952564102563954,0.13522930871810113,完成,398.2474358974358,9447929.487179486,413.4147435897436,152.1302113420883,2.2151300434468405e-05,1309.5635988272134,0.03121117702482985,0.9294278358226512,1.9612107051476428,35007.70943028519,4.857947438016738,405.8310897435897,15.167307692307759,9080.459307286712,756.1724820640272,True,True,True,True,390.8527534456559,1.9346735449547379,Nu,,,
