topo,fit,slope,eval,metric,value
Diamond,gamma_air_ref,amp,hot,medape,0.780939676446172
Diamond,gamma_air_ref,amp,cold,medape,0.6416847149613236
Diamond,gamma_air_ref,amp,-,G0,1.5331350935988408
Diamond,hot,free,-,G0,6.860537266325813
Diamond,hot,free,-,dexp,0.1262406308482877
Diamond,hot,free,-,sigma_ln,0.05949037252890838
Diamond,hot,free,-,n_fit,51.0
Diamond,hot,free,-,gamma_band68_relhalf,0.06038687924993158
Diamond,hot,free,hot,medape,0.019212951973167067
Diamond,hot,free,hot,cover68,0.803921568627451
Diamond,hot,free,hot,cover95,0.9215686274509803
Diamond,hot,free,cold,medape,0.6711367380203623
Diamond,hot,free,cold,cover68,0.0
Diamond,hot,free,cold,cover95,0.0
Diamond,hot,amp,-,G0,6.860537266325816
Diamond,hot,amp,-,dexp,0.0
Diamond,hot,amp,-,sigma_ln,0.08073204246385639
Diamond,hot,amp,-,n_fit,51.0
Diamond,hot,amp,-,gamma_band68_relhalf,0.08197367660462966
Diamond,hot,amp,hot,medape,0.058401412834578226
Diamond,hot,amp,hot,cover68,0.7058823529411765
Diamond,hot,amp,hot,cover95,0.9607843137254902
Diamond,hot,amp,cold,medape,0.639036243143358
Diamond,hot,amp,cold,cover68,0.0
Diamond,hot,amp,cold,cover95,0.0
Diamond,cold,free,-,G0,3.4009971800199694
Diamond,cold,free,-,dexp,0.9297718472761104
Diamond,cold,free,-,sigma_ln,0.4471042227591507
Diamond,cold,free,-,n_fit,48.0
Diamond,cold,free,-,gamma_band68_relhalf,0.46991527619533985
Diamond,cold,free,hot,medape,0.5189758397696199
Diamond,cold,free,hot,cover68,0.19607843137254902
Diamond,cold,free,hot,cover95,0.6862745098039216
Diamond,cold,free,cold,medape,0.1645545362165217
Diamond,cold,free,cold,cover68,0.8333333333333334
Diamond,cold,free,cold,cover95,0.9791666666666666
Diamond,cold,amp,-,G0,3.400997180019968
Diamond,cold,amp,-,dexp,0.0
Diamond,cold,amp,-,sigma_ln,0.579349396310088
Diamond,cold,amp,-,n_fit,48.0
Diamond,cold,amp,-,gamma_band68_relhalf,0.6228657031412652
Diamond,cold,amp,hot,medape,0.5140522542524402
Diamond,cold,amp,hot,cover68,0.11764705882352941
Diamond,cold,amp,hot,cover95,1.0
Diamond,cold,amp,cold,medape,0.24405076069864562
Diamond,cold,amp,cold,cover68,0.9166666666666666
Diamond,cold,amp,cold,cover95,0.9375
Diamond,pooled,free,-,G0,4.882021100668589
Diamond,pooled,free,-,dexp,0.40397382426552153
Diamond,pooled,free,-,sigma_ln,0.5122357087006594
Diamond,pooled,free,-,n_fit,99.0
Diamond,pooled,free,-,gamma_band68_relhalf,0.5376158589224929
Diamond,pooled,free,hot,medape,0.28359539438300546
Diamond,pooled,free,hot,cover68,0.9019607843137255
Diamond,pooled,free,hot,cover95,1.0
Diamond,pooled,free,cold,medape,0.2630862794156756
Diamond,pooled,free,cold,cover68,0.8541666666666666
Diamond,pooled,free,cold,cover95,0.9166666666666666
Diamond,pooled,amp,-,G0,4.882021100668589
Diamond,pooled,amp,-,dexp,0.0
Diamond,pooled,amp,-,sigma_ln,0.5371610071221644
Diamond,pooled,amp,-,n_fit,99.0
Diamond,pooled,amp,-,gamma_band68_relhalf,0.5661845167877892
Diamond,pooled,amp,hot,medape,0.3024377783965136
Diamond,pooled,amp,hot,cover68,1.0
Diamond,pooled,amp,hot,cover95,1.0
Diamond,pooled,amp,cold,medape,0.166353189722099
Diamond,pooled,amp,cold,cover68,0.7916666666666666
Diamond,pooled,amp,cold,cover95,0.9166666666666666
Gyroid,gamma_air_ref,amp,hot,medape,0.7506271322370992
Gyroid,gamma_air_ref,amp,cold,medape,0.4333234647241306
Gyroid,gamma_air_ref,amp,-,G0,1.956572216926803
Gyroid,hot,free,-,G0,7.765475391888127
Gyroid,hot,free,-,dexp,0.09793343418160605
Gyroid,hot,free,-,sigma_ln,0.03630544213319485
Gyroid,hot,free,-,n_fit,44.0
Gyroid,hot,free,-,gamma_band68_relhalf,0.03695802123224921
Gyroid,hot,free,hot,medape,0.01223754282827323
Gyroid,hot,free,hot,cover68,0.8409090909090909
Gyroid,hot,free,hot,cover95,0.9545454545454546
Gyroid,hot,free,cold,medape,1.4278498793934713
Gyroid,hot,free,cold,cover68,0.0
Gyroid,hot,free,cold,cover95,0.0
Gyroid,hot,amp,-,G0,7.765475391888127
Gyroid,hot,amp,-,dexp,0.0
Gyroid,hot,amp,-,sigma_ln,0.056487456249338965
Gyroid,hot,amp,-,n_fit,44.0
Gyroid,hot,amp,-,gamma_band68_relhalf,0.05750535523415441
Gyroid,hot,amp,hot,medape,0.033425616884172574
Gyroid,hot,amp,hot,cover68,0.7954545454545454
Gyroid,hot,amp,hot,cover95,0.9545454545454546
Gyroid,hot,amp,cold,medape,1.3334012664577954
Gyroid,hot,amp,cold,cover68,0.0
Gyroid,hot,amp,cold,cover95,0.0
Gyroid,cold,free,-,G0,2.7336282210718115
Gyroid,cold,free,-,dexp,1.989881664724058
Gyroid,cold,free,-,sigma_ln,0.22166121116728255
Gyroid,cold,free,-,n_fit,27.0
Gyroid,cold,free,-,gamma_band68_relhalf,0.23103963922038487
Gyroid,cold,free,hot,medape,0.7992635015590039
Gyroid,cold,free,hot,cover68,0.022727272727272728
Gyroid,cold,free,hot,cover95,0.045454545454545456
Gyroid,cold,free,cold,medape,0.12281775153234797
Gyroid,cold,free,cold,cover68,0.7777777777777778
Gyroid,cold,free,cold,cover95,1.0
Gyroid,cold,amp,-,G0,2.7336282210718004
Gyroid,cold,amp,-,dexp,0.0
Gyroid,cold,amp,-,sigma_ln,0.504233280771335
Gyroid,cold,amp,-,n_fit,27.0
Gyroid,cold,amp,-,gamma_band68_relhalf,0.5444301447830366
Gyroid,cold,amp,hot,medape,0.6515882710646839
Gyroid,cold,amp,hot,cover68,0.0
Gyroid,cold,amp,hot,cover95,0.5
Gyroid,cold,amp,cold,medape,0.3123581779143088
Gyroid,cold,amp,cold,cover68,0.7037037037037037
Gyroid,cold,amp,cold,cover95,0.9629629629629629
Gyroid,pooled,free,-,G0,5.220804779318233
Gyroid,pooled,free,-,dexp,-0.15387184667523035
Gyroid,pooled,free,-,sigma_ln,0.5985042860314962
Gyroid,pooled,free,-,n_fit,71.0
Gyroid,pooled,free,-,gamma_band68_relhalf,0.6410614317385305
