L_mm,t_mm,eps_f,K,c_F
4,0.29999999999999999,0.357147216796875,1.2471643177398556e-09,346.41429576084295
4,0.40000000000000002,0.3102569580078125,9.8916297772648205e-10,283.33639406240394
4,0.5,0.2657928466796875,8.5178291621663688e-10,239.41743111161657
5,0.29999999999999999,0.38470458984375,2.8704933846737643e-09,246.72999863560497
5,0.40000000000000002,0.34765625,2.665827884721636e-09,223.1265090913179
5,0.5,0.3102569580078125,2.2278500399525985e-09,237.18711037629254
6,0.29999999999999999,0.4035186767578125,2.0517153132476205e-08,609.59436116073732
6,0.40000000000000002,0.372344970703125,2.6882262527540355e-08,648.53816896080718
6,0.5,0.3413848876953125,1.4351780567703975e-08,639.00343409593529
8,0.29999999999999999,0.426605224609375,1.2824084539670613e-08,280.49877977884142
8,0.40000000000000002,0.4035186767578125,1.1771878748910371e-08,315.76814666469659
8,0.5,0.3804473876953125,1.2324304419241746e-08,323.88696477105515
