L_mm,t_mm,eps_f,K,c_F
4,0.29999999999999999,0.38474273681640625,1.6534260004693519e-09,342.29643773518245
4,0.40000000000000002,0.34699249267578125,1.2846128530849958e-09,385.05680435703971
4,0.5,0.31020355224609375,1.1741355269049106e-09,272.7073419142871
5,0.29999999999999999,0.4075164794921875,5.8670763579996398e-09,193.39026293512509
5,0.40000000000000002,0.37706756591796875,5.1082818911199314e-09,187.74256617510366
5,0.5,0.34699249267578125,4.8535311924711355e-09,163.44004567219309
6,0.29999999999999999,0.42269134521484375,2.72540637076877e-08,528.89967947017135
6,0.40000000000000002,0.396759033203125,1.9858446706250339e-08,535.32245898408019
6,0.5,0.37221527099609375,1.7285202454147432e-08,560.36742753084582
8,0.29999999999999999,0.44135284423828125,5.0734706527880796e-08,187.4133101436158
8,0.40000000000000002,0.42269134521484375,4.9868331639737313e-08,188.58167467965686
8,0.5,0.403900146484375,4.4883815335853749e-08,187.01707777785268
