tp,L_mm,t_mm,K_m2,cF_fixed_1_m,flow_suspect,authority,production_eligible
Diamond,4,0.3,1.5760680977230612e-08,382.08866789436291,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,4,0.4,1.4207526405482765e-08,488.76128500309051,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,4,0.5,1.2134732028065847e-08,529.19751898624895,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,4,0.6,8.489626097877602e-09,586.97658225939313,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,5,0.3,2.4386862738035564e-08,284.84330791182015,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,5,0.4,2.4283971821113363e-08,335.30909995064951,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,5,0.5,1.9278393945647241e-08,386.74348024037124,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,5,0.6,1.5950932548634231e-08,398.81869379284649,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,6,0.3,3.7252192301176815e-08,214.02336360580915,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,6,0.4,3.3759847315163457e-08,240.62907212635986,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,6,0.5,2.8745237741976023e-08,250.41231488965562,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,6,0.6,2.6404773792146732e-08,269.51705062504834,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,7,0.3,6.10127192259212e-08,169.18646313642293,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,7,0.4,5.969069673279863e-08,212.4696722379878,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,7,0.5,4.90754003011419e-08,213.99582634947123,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,7,0.6,4.4351442017543415e-08,241.08433725023596,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,8,0.3,8.2435205104290573e-08,109.21037115771092,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,8,0.4,5.7339684121052186e-08,153.84938055980965,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,8,0.5,6.4900467270773291e-08,171.72577834584419,false,cfd_full_core_3cell_fixed_v2_candidate,false
Diamond,8,0.6,4.8189341462452443e-08,171.1088306010667,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,4,0.3,2.3125510791841072e-08,381.13641732415493,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,4,0.4,1.7995490976339482e-08,397.56426920068833,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,4,0.5,1.6005842360633671e-08,434.70540309684816,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,4,0.6,1.4223356859004572e-08,455.35318358283712,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,5,0.3,3.3484827652354243e-08,281.24770826450901,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,5,0.4,3.0893264750168445e-08,294.49646641678612,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,5,0.5,2.5523923123680299e-08,304.63177825411753,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,5,0.6,2.2947700170183066e-08,324.31624713606573,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,6,0.3,5.4890755318904122e-08,236.23810943526189,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,6,0.4,4.8841442670242926e-08,239.78171583799818,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,6,0.5,4.0063129237359441e-08,245.82971039240476,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,6,0.6,3.5833525279487202e-08,255.34586603024928,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,7,0.3,7.6472942906471751e-08,196.90436880530433,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,7,0.4,7.2207023334825199e-08,199.80932114462564,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,7,0.5,6.0441926524532249e-08,204.23644307801848,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,7,0.6,5.3704042886967827e-08,199.05002405781562,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,8,0.3,1.0187509432943435e-07,161.61007055299507,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,8,0.4,9.1593478237526453e-08,155.11975256694706,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,8,0.5,7.8935966842029334e-08,169.57294589422037,false,cfd_full_core_3cell_fixed_v2_candidate,false
Gyroid,8,0.6,7.4433371614516062e-08,163.29625034048539,false,cfd_full_core_3cell_fixed_v2_candidate,false
