tp,L,t,K,cF,eps_A,Dh
Diamond,4.0,0.3,1.5022026044279817e-08,444.1437731159417,0.357147216796875,0.0015474464878671775
Diamond,4.0,0.4,1.3365771983908292e-08,561.619889931313,0.3102569580078125,0.0013930275719075348
Diamond,4.0,0.5,1.0812716635202907e-08,649.3465004231784,0.2657928466796875,0.0012427281789783168
Diamond,4.0,0.6,7.637042622558616e-09,728.1107263457948,0.22100830078125,0.0011042539027982328
Diamond,5.0,0.3,2.442431523466961e-08,295.83809149092906,0.38470458984375,0.0020557289566532255
Diamond,5.0,0.4,2.3502511122441526e-08,386.61505414798364,0.34765625,0.0018911168120403629
Diamond,5.0,0.5,1.8733020869579647e-08,420.24404063689076,0.3102569580078125,0.0017412844648844188
Diamond,5.0,0.6,1.601933536923904e-08,437.6757594075435,0.274169921875,0.0015909678890713376
Diamond,6.0,0.3,3.799645765839808e-08,194.44544947266303,0.4035186767578125,0.002562333728475168
Diamond,6.0,0.4,3.447903136056834e-08,239.096875715371,0.372344970703125,0.0023888241301059003
Diamond,6.0,0.5,2.7807700421892887e-08,281.33399098649613,0.3413848876953125,0.002250341256476684
Diamond,6.0,0.6,2.920796722725207e-08,217.12852406436093,0.3102569580078125,0.002089541357861302
Diamond,7.0,0.3,5.298604690285902e-08,195.35036745906004,0.417083740234375,0.003090654788650358
Diamond,7.0,0.4,6.082773123768133e-08,162.47628920008827,0.3896484375,0.0029032991967871485
Diamond,7.0,0.5,5.589109676399608e-08,156.55111046316227,0.363372802734375,0.002755236206896552
Diamond,7.0,0.6,5.1135209299724916e-08,190.73513283589153,0.3372650146484375,0.0025991012569228106
Diamond,8.0,0.3,7.61691665800043e-08,128.38712344596604,0.426605224609375,0.003589515046296297
Diamond,8.0,0.4,5.59611345466091e-08,160.05435141977023,0.4035186767578125,0.003416444971300225
Diamond,8.0,0.5,7.367542872527555e-08,143.75190500377784,0.3804473876953125,0.0032576938414941954
Diamond,8.0,0.6,4.571703074575765e-08,180.29699670327386,0.357147216796875,0.003094892975734355
Gyroid,4.0,0.3,2.2841188467932287e-08,421.8000962707976,0.38474273681640625,0.00203249862451988
Gyroid,4.0,0.4,1.7200248655935354e-08,438.93643140607963,0.34699249267578125,0.0018700554143500135
Gyroid,4.0,0.5,1.4966716817650823e-08,500.5098383763728,0.31020355224609375,0.0017179080150179565
Gyroid,4.0,0.6,1.303881204704653e-08,546.1452752499189,0.273162841796875,0.0015625136851570842
Gyroid,5.0,0.3,3.326199088501557e-08,284.5796491073427,0.4075164794921875,0.002668569268581429
Gyroid,5.0,0.4,2.9792045950483712e-08,331.18694871214615,0.37706756591796875,0.002494602151586064
Gyroid,5.0,0.5,2.4450849238176976e-08,328.21030957665613,0.34699249267578125,0.0023375692679375166
Gyroid,5.0,0.6,2.178717032205816e-08,367.3997762215181,0.31732177734375,0.0021792299595141703
Gyroid,6.0,0.3,5.382048097622507e-08,244.15804882102174,0.42269134521484375,0.0033057038189641926
Gyroid,6.0,0.4,4.789817955154309e-08,263.8286378227101,0.396759033203125,0.0031264405388665224
Gyroid,6.0,0.5,3.8670950958873636e-08,265.67847842050355,0.37221527099609375,0.0029702921044378237
Gyroid,6.0,0.6,3.4277399839591466e-08,274.11782556841956,0.34699249267578125,0.00280508312152502
Gyroid,7.0,0.3,7.814137217580331e-08,207.2786630060911,0.4336395263671875,0.003951687759017651
Gyroid,7.0,0.4,7.099103906253812e-08,216.15559026909764,0.41131591796875,0.003767920022630253
Gyroid,7.0,0.5,5.884785701784911e-08,227.1792726603551,0.3900299072265625,0.0035990264091803957
Gyroid,7.0,0.6,5.221645176691808e-08,210.70522400350487,0.36837005615234375,0.0034387086805555554
Gyroid,8.0,0.3,1.0142987411972657e-07,166.8639780962028,0.44135284423828125,0.004586689998468372
Gyroid,8.0,0.4,9.316214312664256e-08,154.7527275335103,0.42269134521484375,0.004407605091952257
Gyroid,8.0,0.5,7.741033943421375e-08,174.62904276232788,0.403900146484375,0.004237710427297562
Gyroid,8.0,0.6,7.44447065374194e-08,169.42342652088354,0.38474273681640625,0.00406499724903976
