tp,L,t,eps_f,Dh,K,B,m,n
Diamond,4.0,0.3,0.357147216796875,0.0015474464878671775,5.7501993267967795e-08,634.2507874604684,0.17210342678458704,270
Diamond,4.0,0.4,0.3102569580078125,0.0013930275719075348,4.6598404288558186e-08,806.8009550300836,0.17210342678458704,270
Diamond,4.0,0.5,0.2657928466796875,0.0012427281789783168,3.7085480676970706e-08,868.624647530323,0.17210342678458704,270
Diamond,4.0,0.6,0.22100830078125,0.0011042539027982328,2.9281242810268273e-08,988.7265765226996,0.17210342678458704,270
Diamond,5.0,0.3,0.38470458984375,0.0020557289566532255,1.0148067022347801e-07,480.0708521752568,0.17210342678458704,270
Diamond,5.0,0.4,0.34765625,0.0018911168120403629,8.587926744835278e-08,546.5371260509214,0.17210342678458704,270
Diamond,5.0,0.5,0.3102569580078125,0.0017412844648844188,7.281000670087212e-08,636.2236055750272,0.17210342678458704,270
Diamond,5.0,0.6,0.274169921875,0.0015909678890713376,6.078192477097849e-08,652.7719235138856,0.17210342678458704,270
Diamond,6.0,0.3,0.4035186767578125,0.002562333728475168,1.5766053894983264e-07,355.5149048249269,0.17210342678458704,270
Diamond,6.0,0.4,0.372344970703125,0.0023888241301059003,1.3703136215102192e-07,425.23626569966336,0.17210342678458704,270
Diamond,6.0,0.5,0.3413848876953125,0.002250341256476684,1.2160414677971234e-07,393.8221455116516,0.17210342678458704,270
Diamond,6.0,0.6,0.3102569580078125,0.002089541357861302,1.0484640964925598e-07,448.3017109506389,0.17210342678458704,270
Diamond,7.0,0.3,0.417083740234375,0.003090654788650358,2.2937845252634715e-07,308.04357854546623,0.17210342678458704,270
Diamond,7.0,0.4,0.3896484375,0.0029032991967871485,2.0241151155620556e-07,350.2381000654105,0.17210342678458704,270
Diamond,7.0,0.5,0.363372802734375,0.002755236206896552,1.8229270695572037e-07,424.81242678291534,0.17210342678458704,270
Diamond,7.0,0.6,0.3372650146484375,0.0025991012569228106,1.6221761754170678e-07,364.04960904890305,0.17210342678458704,270
Diamond,8.0,0.3,0.426605224609375,0.003589515046296297,3.094020425583014e-07,182.39169357659483,0.17210342678458704,270
Diamond,8.0,0.4,0.4035186767578125,0.003416444971300225,2.802854025774813e-07,268.0531534837091,0.17210342678458704,270
Diamond,8.0,0.5,0.3804473876953125,0.0032576938414941954,2.548426742819575e-07,266.3167681900603,0.17210342678458704,269
Diamond,8.0,0.6,0.357147216796875,0.003094892975734355,2.3000797307187123e-07,287.2951396513356,0.17210342678458704,270
Gyroid,4.0,0.3,0.38474273681640625,0.00203249862451988,4.6367727201476055e-08,531.5695480959138,0.11783961178145617,270
Gyroid,4.0,0.4,0.34699249267578125,0.0018700554143500135,3.9252221404940016e-08,557.3300296167853,0.11783961178145617,270
Gyroid,4.0,0.5,0.31020355224609375,0.0017179080150179565,3.312493996248732e-08,606.6064830445256,0.11783961178145617,270
Gyroid,4.0,0.6,0.273162841796875,0.0015625136851570842,2.740330519223437e-08,628.4323114971442,0.11783961178145617,270
Gyroid,5.0,0.3,0.4075164794921875,0.002668569268581429,7.993044828128655e-08,395.44854161733986,0.11783961178145617,270
Gyroid,5.0,0.4,0.37706756591796875,0.002494602151586064,6.984862690930678e-08,410.7160455393544,0.11783961178145617,270
Gyroid,5.0,0.5,0.34699249267578125,0.0023375692679375166,6.133159594521873e-08,434.1831790939836,0.11783961178145617,270
Gyroid,5.0,0.6,0.31732177734375,0.0021792299595141703,5.3304197532818054e-08,457.49736388542306,0.11783961178145617,270
Gyroid,6.0,0.3,0.42269134521484375,0.0033057038189641926,1.2265440978563183e-07,329.5206558707881,0.11783961178145617,270
Gyroid,6.0,0.4,0.396759033203125,0.0031264405388665224,1.097123795680504e-07,333.89404018948164,0.11783961178145617,270
Gyroid,6.0,0.5,0.37221527099609375,0.0029702921044378237,9.902699707371951e-08,345.86340896428175,0.11783961178145617,270
Gyroid,6.0,0.6,0.34699249267578125,0.00280508312152502,8.831749816111472e-08,364.45903108930764,0.11783961178145617,270
Gyroid,7.0,0.3,0.4336395263671875,0.003951687759017651,1.7527522420067447e-07,277.751856797811,0.11783961178145617,270
Gyroid,7.0,0.4,0.41131591796875,0.003767920022630253,1.5935241140967113e-07,276.2658082704214,0.11783961178145617,270
Gyroid,7.0,0.5,0.3900299072265625,0.0035990264091803957,1.4538692625989867e-07,281.3703785207853,0.11783961178145617,270
Gyroid,7.0,0.6,0.36837005615234375,0.0034387086805555554,1.327229597172973e-07,280.02623872459367,0.11783961178145617,270
Gyroid,8.0,0.3,0.44135284423828125,0.004586689998468372,2.3613157545713196e-07,217.16486190026836,0.11783961178145617,80
