tp,L,t,ef,Dh,logK,logB,m_lat,n_fluids
Diamond,4,0.3,0.357147216796875,0.0015474464878671775,-7.2409683971344325,2.8257297868855535,0.136530512459309,1
Diamond,4,0.4,0.3102569580078125,0.0013930275719075348,-6.947407614351107,2.8949083608678468,0.136530512459309,2
Diamond,4,0.5,0.2657928466796875,0.0012427281789783168,-3.328636370261678,2.9474013285971243,0.136530512459309,2
Diamond,4,0.6,0.22100830078125,0.0011042539027982328,-3.202029528342454,2.988296720178112,0.136530512459309,2
Diamond,5,0.3,0.38470458984375,0.0020557289566532255,-2.1274158527881952,2.659764681237264,0.136530512459309,2
Diamond,5,0.4,0.34765625,0.0018911168120403629,-2.799232648554222,2.7300685781710503,0.136530512459309,2
Diamond,5,0.5,0.3102569580078125,0.0017412844648844188,-6.400427231946416,2.781796677321519,0.136530512459309,2
Diamond,5,0.6,0.274169921875,0.0015909678890713376,-2.6426562535286076,2.8005032566474295,0.136530512459309,2
Diamond,6,0.3,0.4035186767578125,0.002562333728475168,-6.888200581100845,2.494457389641296,0.136530512459309,2
Diamond,6,0.4,0.372344970703125,0.0023888241301059003,-6.862528728565244,2.527585492011973,0.136530512459309,2
Diamond,6,0.5,0.3413848876953125,0.002250341256476684,-7.03570334132051,2.6583163058800032,0.136530512459309,1
Diamond,6,0.6,0.3102569580078125,0.002089541357861302,-7.122311041816355,2.611808673321682,0.136530512459309,2
Diamond,7,0.3,0.417083740234375,0.003090654788650358,-6.812771503536278,2.4311021540285336,0.136530512459309,1
Diamond,7,0.4,0.3896484375,0.0029032991967871485,-6.618172567409394,2.4876016154534932,0.136530512459309,2
Diamond,7,0.5,0.363372802734375,0.002755236206896552,-6.842844474730688,2.472968695247585,0.136530512459309,2
Diamond,7,0.6,0.3372650146484375,0.0025991012569228106,-6.160850119836187,2.522678049617816,0.136530512459309,2
Diamond,8,0.3,0.426605224609375,0.003589515046296297,-6.761767616958761,2.28230282837203,0.136530512459309,1
Diamond,8,0.4,0.4035186767578125,0.003416444971300225,-6.87390980164754,2.385070776458182,0.136530512459309,1
Diamond,8,0.5,0.3804473876953125,0.0032576938414941954,-6.751909267421741,2.364661416069489,0.136530512459309,2
Diamond,8,0.6,0.357147216796875,0.003094892975734355,-6.926174365448806,2.475349489853607,0.136530512459309,1
Gyroid,4,0.3,0.38474273681640625,0.00203249862451988,-6.441761070286507,2.7379679093666907,0.10586010064521019,2
Gyroid,4,0.4,0.34699249267578125,0.0018700554143500135,-7.423010646748075,2.7662390033691375,0.10586010064521019,2
Gyroid,4,0.5,0.31020355224609375,0.0017179080150179565,-7.295671374878101,2.8116524754932586,0.10586010064521019,2
Gyroid,4,0.6,0.273162841796875,0.0015625136851570842,-7.482889863756741,2.837785243140698,0.10586010064521019,2
Gyroid,5,0.3,0.4075164794921875,0.002668569268581429,-6.836954754791643,2.5975503245798848,0.10586010064521019,2
Gyroid,5,0.4,0.37706756591796875,0.002494602151586064,-7.21297693033217,2.6481663879589528,0.10586010064521019,1
Gyroid,5,0.5,0.34699249267578125,0.0023375692679375166,-7.266658474547594,2.6739868195973924,0.10586010064521019,1
Gyroid,5,0.6,0.31732177734375,0.0021792299595141703,-7.31949703597257,2.7152453265229854,0.10586010064521019,1
Gyroid,6,0.3,0.42269134521484375,0.0033057038189641926,-6.849265050488823,2.530416493490683,0.10586010064521019,1
Gyroid,6,0.4,0.396759033203125,0.0031264405388665224,-6.941811465553337,2.5528785620587735,0.10586010064521019,1
Gyroid,6,0.5,0.37221527099609375,0.0029702921044378237,-7.036897285317501,2.5747451555339826,0.10586010064521019,1
Gyroid,6,0.6,0.34699249267578125,0.00280508312152502,-7.122085390230796,2.5896617794791355,0.10586010064521019,1
Gyroid,7,0.3,0.4336395263671875,0.003951687759017651,-6.719692963450105,2.446400856907085,0.10586010064521019,1
Gyroid,7,0.4,0.41131591796875,0.003767920022630253,-6.756268661912803,2.4683438787294785,0.10586010064521019,1
Gyroid,7,0.5,0.3900299072265625,0.0035990264091803957,-6.820599758520629,2.4910904263215494,0.10586010064521019,1
Gyroid,7,0.6,0.36837005615234375,0.0034387086805555554,-6.804957679380864,2.46321221000757,0.10586010064521019,2
Gyroid,8,0.3,0.44135284423828125,0.004586689998468372,-6.661646320279422,2.3589944827900764,0.10586010064521019,1
Gyroid,8,0.4,0.42269134521484375,0.004407605091952257,-6.687131308751498,2.3335154419848387,0.10586010064521019,1
Gyroid,8,0.5,0.403900146484375,0.004237710427297562,-6.775725518560653,2.3936221341602626,0.10586010064521019,1
Gyroid,8,0.6,0.38474273681640625,0.00406499724903976,-6.773168503295478,2.36568995043279,0.10586010064521019,1
